pathway	pval	padj	log2err	ES	NES	size
GOBP_VIRAL_GENE_EXPRESSION	8.38630604816677e-10	1.45502409935694e-06	0.801215574617779	0.552145454684436	2.9507911718344	61
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	3.55253390966707e-09	2.05454877775746e-06	0.774939030136436	0.569225252290262	2.94546966299298	54
GOBP_TRANSLATIONAL_INITIATION	2.58447798589831e-09	2.05454877775746e-06	0.774939030136436	0.535068229344696	2.87844237342773	64
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	7.01176063360146e-09	3.04135117482463e-06	0.761460801445585	0.585378222992379	2.98205163791856	48
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	1.15105493000418e-08	3.9941606071145e-06	0.747739663149885	0.568841155483222	2.92043983801224	50
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	2.61382936763304e-08	6.47856278977619e-06	0.73376198835648	0.492927822115496	2.74149867330203	71
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	2.45437000369874e-08	6.47856278977619e-06	0.73376198835648	0.551763664265003	2.85511425871473	54
GOBP_RNA_CATABOLIC_PROCESS	4.35667749938948e-07	9.44854432680093e-05	0.674962860011025	0.411867345129451	2.48552946065064	102
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	5.79320447548891e-07	0.000111680108499703	0.659444398037935	0.331821398368117	2.26810597641479	193
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	1.66358204757923e-06	0.000288631485254997	0.643551836150722	0.375533475738744	2.36397746897597	124
GOBP_PEPTIDE_METABOLIC_PROCESS	9.03992161622656e-06	0.00142584218219574	0.593325476396405	0.338028584109575	2.19413286587805	143
GOBP_PROTEIN_TARGETING_TO_MEMBRANE	1.38535392378956e-05	0.00200299088147908	0.593325476396405	0.468492395226828	2.46796538103027	57
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	2.52029752075736e-05	0.00336362784501078	0.575610261071129	0.324567523531785	2.10449376972828	144
GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS	2.97204069467595e-05	0.0036832075751877	0.575610261071129	0.348873632455503	2.1979596096372	122
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS	0.000125585777131882	0.0145260882215877	0.518848077743792	0.296383283320371	1.97259559577294	176
GOBP_CARDIOCYTE_DIFFERENTIATION	0.000139752092596305	0.0151543675409118	0.518848077743792	-0.536750473286093	-2.30326343244632	25
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	0.000217765276987658	0.0222248679749169	0.518848077743792	0.253826911657004	1.81411015046833	265
GOBP_PROTEIN_TARGETING	0.000342196820290338	0.0329839712890964	0.49849310876659	0.336234749772407	2.02166655916696	99
GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS	0.000429431060923341	0.0383442325598862	0.49849310876659	-0.618921651296651	-2.31087368168013	16
GOBP_CYTOPLASMIC_TRANSLATION	0.000464108866719083	0.0383442325598862	0.49849310876659	0.496238897394054	2.19468324313736	29
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	0.000445130437224994	0.0383442325598862	0.49849310876659	0.30936008813666	1.97292233709167	128
GOBP_CARDIAC_CELL_DEVELOPMENT	0.000694339941525964	0.0547581726612522	0.477270815362862	-0.627681005842047	-2.1545878664356	13
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.000795079211394785	0.0599766274682588	0.477270815362862	0.357344787622018	2.02706388125604	78
GOBP_PLATELET_DEGRANULATION	0.000876501504487657	0.0633637545952535	0.477270815362862	0.510560322801934	2.14337642303409	25
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	0.000948729893787214	0.0658418546288327	0.477270815362862	-0.527947042480313	-2.14121007550794	20
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	0.00122175698682341	0.0815287835437929	0.45505986738723	-0.240489993254344	-1.66638673799786	184
GOBP_GLOMERULUS_DEVELOPMENT	0.00139591816029762	0.0893042789141719	0.45505986738723	-0.547115697230282	-2.11523512337598	18
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS	0.00144122179227482	0.0893042789141719	0.45505986738723	0.563752025604561	2.10315010353875	18
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	0.00153341042451321	0.0917402443631177	0.45505986738723	0.233319399033509	1.65237256431579	258
GOBP_PROTEIN_FOLDING	0.00159092032165079	0.0920082252688039	0.45505986738723	0.481515688804133	2.12931566961517	30
GOBP_LEARNING	0.00195001393549228	0.105727318064972	0.45505986738723	-0.528662700624404	-2.09118216252382	19
GOBP_MRNA_METABOLIC_PROCESS	0.00189482486184627	0.105727318064972	0.45505986738723	0.273530920354835	1.8014347004727	163
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	0.00230333521250122	0.12109959374817	0.431707695803346	0.502352000853471	2.01113309765952	22
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	0.00244585305305858	0.124810442560489	0.431707695803346	0.460183262599733	2.04710333761476	31
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT	0.00301028475269222	0.145079001275584	0.431707695803346	-0.462459571663276	-1.98447187922472	25
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	0.00293150409856762	0.145079001275584	0.431707695803346	0.629469362153485	2.13284161915919	13
GOBP_STEM_CELL_DIFFERENTIATION	0.00314378557130121	0.147418053140746	0.431707695803346	-0.379606921194788	-1.90504733516529	40
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION	0.0034364064137858	0.152876028920984	0.431707695803346	-0.364558955703737	-1.87748483501406	47
GOBP_VASCULATURE_DEVELOPMENT	0.00343512776864163	0.152876028920984	0.431707695803346	-0.2659419241445	-1.69547703984209	128
GOBP_HEART_DEVELOPMENT	0.00356825894059805	0.154773231548441	0.431707695803346	-0.279647378531837	-1.73686313916995	99
GOBP_MUSCLE_CONTRACTION	0.00379758569328312	0.160702711654786	0.431707695803346	0.335549053674521	1.86621092217617	71
GOBP_PLATELET_AGGREGATION	0.00434636097699551	0.179546102263981	0.407017918923954	0.610178450472761	2.00171083021743	12
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.00447099458562811	0.180399432699181	0.407017918923954	0.254636704258081	1.69474889310366	176
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.00483582602363267	0.190685412522788	0.407017918923954	-0.252368824186971	-1.65580221712359	142
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS	0.00513973491584669	0.198165335088756	0.407017918923954	-0.454615913525698	-1.92350054915674	24
GOBP_COAGULATION	0.00541517377034167	0.199900563649847	0.407017918923954	0.380768136035355	1.93278761720192	49
GOBP_RESPONSE_TO_WOUNDING	0.00538891393034893	0.199900563649847	0.407017918923954	0.288232176499098	1.76576371126443	112
GOBP_MUSCLE_SYSTEM_PROCESS	0.00623327881048954	0.225307057004153	0.407017918923954	0.295977681891014	1.73742116437866	87
GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	0.00718872595824155	0.254539582398961	0.407017918923954	0.4632498084473	1.85459004974591	22
GOBP_REGENERATION	0.00737070955219137	0.255763621461041	0.407017918923954	0.4031781167945	1.8850932813573	35
