pathway	pval	padj	log2err	ES	NES	size
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	2.85634006796169e-05	0.0169530623542505	0.575610261071129	-0.779460803269074	-2.320073456884	10
GOBP_RESPONSE_TO_KETONE	2.92923719175116e-05	0.0169530623542505	0.575610261071129	-0.588984595950897	-2.33559567212232	24
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	3.56906575878958e-05	0.0169530623542505	0.557332238758646	-0.503996810004271	-2.29084033954595	38
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	0.000176714150572275	0.0503635329130983	0.518848077743792	-0.38141629503539	-2.05422234193546	73
GOBP_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR	0.000169927056377106	0.0503635329130983	0.518848077743792	-0.617034503131701	-2.23577054602355	18
GOBP_TISSUE_MIGRATION	0.000239246958083153	0.0568211525447488	0.518848077743792	-0.406443420225357	-2.05318449843952	56
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	0.000347287859579078	0.0706978857000266	0.49849310876659	-0.326991447689211	-1.88573276966902	98
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.000410399773181795	0.0731024595980072	0.49849310876659	-0.608040307149047	-2.10288256678498	16
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0.000473280978709579	0.07493615496235	0.49849310876659	0.673565357579673	2.1181749602648	12
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	0.00114372061241553	0.0836662291523284	0.45505986738723	-0.510003923218882	-2.02240086417257	24
GOBP_GLOMERULUS_DEVELOPMENT	0.00123868104806799	0.0836662291523284	0.45505986738723	-0.624635354586137	-2.01912962178252	13
GOBP_HEART_PROCESS	0.00109904216826826	0.0836662291523284	0.45505986738723	0.43640780095156	2.04581898440155	43
GOBP_MULTICELLULAR_ORGANISM_GROWTH	0.00102380086741982	0.0836662291523284	0.45505986738723	-0.59446868406378	-2.0034860099142	15
GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS	0.00135040229509021	0.0836662291523284	0.45505986738723	0.495321007365741	2.09288789656358	27
GOBP_NEPHRON_DEVELOPMENT	0.00129820869197032	0.0836662291523284	0.45505986738723	-0.544291518905018	-2.00967183004116	19
GOBP_REGULATION_OF_BLOOD_CIRCULATION	0.000976319522164965	0.0836662291523284	0.477270815362862	0.450202097842854	2.08696062990799	41
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.000968335640965073	0.0836662291523284	0.477270815362862	-0.459433388521364	-2.01921332114892	33
GOBP_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.00103739376811394	0.0836662291523284	0.45505986738723	-0.419377632421014	-2.02260475971021	45
GOBP_REGULATION_OF_WOUND_HEALING	0.00134983921370626	0.0836662291523284	0.45505986738723	-0.574452936195057	-1.98672201622139	16
GOBP_RESPONSE_TO_CALCIUM_ION	0.00100559097056848	0.0836662291523284	0.45505986738723	-0.581537315645919	-2.01122305318974	16
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	0.000708626771598515	0.0836662291523284	0.477270815362862	-0.261050948918333	-1.71881838137558	197
GOBP_RESPONSE_TO_INORGANIC_SUBSTANCE	0.000688609402661095	0.0836662291523284	0.477270815362862	-0.395495513202168	-1.99545526102184	55
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING	0.00108333651476883	0.0836662291523284	0.45505986738723	-0.448523085222215	-1.98470889128348	35
GOBP_REGULATION_OF_SYSTEM_PROCESS	0.00147542136211156	0.0840990176403588	0.45505986738723	0.348184034181347	1.83108507831456	73
GOBP_STEM_CELL_DIFFERENTIATION	0.00147017143394252	0.0840990176403588	0.45505986738723	-0.5057653560274	-1.98884280211541	23
GOBP_REGULATION_OF_HEART_CONTRACTION	0.00164049375608904	0.0899116770164188	0.45505986738723	0.437721115121573	1.99710697945067	38
GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS	0.00183914620954703	0.0935994053073041	0.45505986738723	-0.611130995372681	-1.90665517856239	12
GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	0.00183540902874272	0.0935994053073041	0.45505986738723	-0.609667014807898	-1.97074456318273	13
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.00244098083582141	0.119944747967086	0.431707695803346	-0.489191118125572	-1.92366721553409	23
GOBP_CELL_MIGRATION	0.00362085752398716	0.136984508330033	0.431707695803346	-0.240541023893639	-1.58377640478385	197
GOBP_HUMORAL_IMMUNE_RESPONSE	0.00341574665578709	0.136984508330033	0.431707695803346	-0.581178112670554	-1.90600038255331	14
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	0.0034826207260237	0.136984508330033	0.431707695803346	0.499812990490968	1.99205330059452	23
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION	0.00365292022213422	0.136984508330033	0.431707695803346	-0.355849039561738	-1.80174125424284	57
GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT	0.00332550531209106	0.136984508330033	0.431707695803346	-0.594742895536657	-1.92250244707718	13
GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	0.00315523612902508	0.136984508330033	0.431707695803346	-0.257201797412478	-1.60926301658253	150
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	0.00345274398459549	0.136984508330033	0.431707695803346	-0.488576041868762	-1.83408772644575	20
GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION	0.00325924589584115	0.136984508330033	0.431707695803346	-0.548431388954516	-1.89672755794365	16
GOBP_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0.00300803842940434	0.136984508330033	0.431707695803346	0.540043814161734	1.94188423734227	18
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	0.00386991849258105	0.1378658462982	0.431707695803346	-0.248078419542607	-1.57032986635829	160
GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.00381772306011849	0.1378658462982	0.431707695803346	-0.280318633394792	-1.6683730409282	114
GOBP_RESPONSE_TO_CORTICOSTEROID	0.00406310983412165	0.141217841795691	0.407017918923954	-0.529927007756311	-1.92014415639747	18
GOBP_ACTIVATION_OF_MAPK_ACTIVITY	0.00540252438347578	0.142120065193659	0.407017918923954	-0.539603001974921	-1.81857698201049	15
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	0.00520359422206873	0.142120065193659	0.407017918923954	-0.270468262285436	-1.62589044406191	121
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	0.00532698487588392	0.142120065193659	0.407017918923954	-0.25509848952793	-1.55735336114375	131
GOBP_EPITHELIAL_CELL_PROLIFERATION	0.0054294341758535	0.142120065193659	0.407017918923954	-0.35454678123739	-1.72842024851189	49
GOBP_EPITHELIUM_DEVELOPMENT	0.00533679677434943	0.142120065193659	0.407017918923954	-0.267106544331826	-1.6097649980948	123
GOBP_HEART_DEVELOPMENT	0.00548533584957983	0.142120065193659	0.407017918923954	-0.287971682769253	-1.6187984167658	88
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.00525451001680521	0.142120065193659	0.407017918923954	-0.423328213434364	-1.80964563754505	30
GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	0.00515821785493187	0.142120065193659	0.407017918923954	-0.566038594281146	-1.85634963485173	14
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	0.00519482685415398	0.142120065193659	0.407017918923954	-0.401086266056234	-1.78451020758588	34
GOBP_RESPONSE_TO_LIPID	0.00511719822984295	0.142120065193659	0.407017918923954	-0.303716052270893	-1.71667347365688	91
GOBP_RESPONSE_TO_METAL_ION	0.00480087111796034	0.142120065193659	0.407017918923954	-0.427018189418437	-1.86805594224803	32
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	0.00462017684284419	0.142120065193659	0.407017918923954	-0.242289143788423	-1.58419471764331	186
GOBP_RESPONSE_TO_STEROID_HORMONE	0.00524424730192864	0.142120065193659	0.407017918923954	-0.405688183407672	-1.79516500092506	35
GOBP_TUBE_MORPHOGENESIS	0.00427055235530373	0.142120065193659	0.407017918923954	-0.278624971569723	-1.67604757797765	122
GOBP_LOCOMOTION	0.00561477630635452	0.1428760042242	0.407017918923954	-0.222362123546137	-1.5048329774254	239
GOBP_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.00601075008854512	0.143447967468341	0.407017918923954	-0.570710092337477	-1.78054682425245	12
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	0.0060399144197196	0.143447967468341	0.407017918923954	-0.394478486700937	-1.79850682111686	39
GOBP_RESPONSE_TO_CATECHOLAMINE	0.00586141662736622	0.143447967468341	0.407017918923954	-0.574097042541749	-1.79111370139566	12
GOBP_RESPONSE_TO_PURINE_CONTAINING_COMPOUND	0.00589196056110352	0.143447967468341	0.407017918923954	-0.527972912488099	-1.82597275271384	16
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.00634570267681099	0.144133470120129	0.407017918923954	-0.558255233574558	-1.83082374500681	14
