pathway	pval	padj	log2err	ES	NES	size
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	2.81765064369746e-05	0.0207093994764883	0.575610261071129	0.615936331388737	2.42315925133672	23
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	4.40625520776347e-05	0.0207093994764883	0.557332238758646	0.589570290738697	2.36076313458564	25
GOBP_VIRAL_GENE_EXPRESSION	0.000108901599064416	0.0341225010401836	0.538434096309916	0.565909859149392	2.28552695627753	26
GOBP_MRNA_METABOLIC_PROCESS	0.000285778729842984	0.053726401210481	0.49849310876659	0.424540802003739	2.11983532094125	53
GOBP_PROTEIN_TARGETING_TO_MEMBRANE	0.000256459319345927	0.053726401210481	0.49849310876659	0.534517250599938	2.17573038040124	27
GOBP_HEART_DEVELOPMENT	0.000353534066991865	0.0553870038287255	0.49849310876659	-0.377783601644722	-1.96883499373809	57
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	0.000587259481299135	0.0711908858340741	0.477270815362862	-0.545602028630852	-2.13381761599981	20
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	0.000766293174250271	0.0711908858340741	0.477270815362862	0.538279932031405	2.14145951217726	24
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	0.000833084834228526	0.0711908858340741	0.477270815362862	0.500668878370699	2.09878297223275	30
GOBP_PROTEIN_FOLDING	0.000749252721334681	0.0711908858340741	0.477270815362862	0.666151896626782	2.18772775438484	13
GOBP_TRANSLATIONAL_INITIATION	0.00066141668114095	0.0711908858340741	0.477270815362862	0.495553723641387	2.11422418907619	31
GOBP_CARDIOCYTE_DIFFERENTIATION	0.00112388397146933	0.0880375777650976	0.45505986738723	-0.642178085991247	-2.1767757739493	13
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	0.00132111923043591	0.0887037197578398	0.45505986738723	-0.624551128773639	-2.04687791881387	12
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	0.0012426574444528	0.0887037197578398	0.45505986738723	0.514420920394329	2.05984928956468	25
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	0.00177831756604509	0.111441234138826	0.45505986738723	0.379262205636647	1.89374829371422	53
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	0.00206447157806991	0.114153134316807	0.431707695803346	0.345677734412117	1.86309896779228	79
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	0.00201112337412419	0.114153134316807	0.431707695803346	0.389322053961314	1.88463347660726	47
GOBP_MUSCLE_TISSUE_DEVELOPMENT	0.0042911630773654	0.212769083494229	0.407017918923954	-0.391122458352194	-1.83813616061711	37
GOBP_RNA_CATABOLIC_PROCESS	0.00430065168764932	0.212769083494229	0.407017918923954	0.412517041835571	1.89147428153258	39
GOBP_GLYCEROLIPID_METABOLIC_PROCESS	0.00469307999581425	0.22057475980327	0.407017918923954	-0.52916321293023	-1.9408769372438	17
GOBP_CALCIUM_MEDIATED_SIGNALING	0.00629379247473528	0.25722456201092	0.407017918923954	-0.497440413414365	-1.86009886023668	18
GOBP_MUSCLE_CELL_DIFFERENTIATION	0.00617252731117053	0.25722456201092	0.407017918923954	-0.394311975116063	-1.82527128740129	34
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION	0.00579135985492758	0.25722456201092	0.407017918923954	-0.435528822601609	-1.88162773799788	27
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	0.00703581993304939	0.275569614044434	0.407017918923954	-0.248666555883942	-1.61122691301119	135
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	0.0073825536374261	0.277584016767222	0.407017918923954	-0.269935001654198	-1.64993737521616	99
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	0.00928537783201482	0.32393628009623	0.380730400722792	0.586367115076472	1.86132414907816	12
GOBP_STEM_CELL_DIFFERENTIATION	0.0093045527261683	0.32393628009623	0.380730400722792	-0.49370918277143	-1.77595818432429	16
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	0.00986408342390044	0.32598877453174	0.380730400722792	-0.260981106729932	-1.60154021834125	101
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	0.0100571004908728	0.32598877453174	0.380730400722792	0.335330804613563	1.6781908817178	55
