pathway	pval	padj	log2err	ES	NES	size
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	1.20361307476627e-09	2.52638384393441e-06	0.788186810800237	-0.559362421137124	-2.92480185360446	50
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	4.88663050048418e-09	5.12851871025815e-06	0.761460801445585	-0.517297964344667	-2.81463205642344	57
GOBP_RESPONSE_TO_LIPID	1.32587055970301e-08	9.27667434938871e-06	0.747739663149885	0.452715563000663	2.30854299896959	162
GOBP_RESPONSE_TO_CYTOKINE	3.69488011503064e-08	1.93888834036233e-05	0.719512826338911	0.394792028805584	2.08921207158043	236
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	8.30668416309808e-08	2.49081857976327e-05	0.704975715167238	0.626215720910399	2.50317788570673	42
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	6.60065687872775e-08	2.49081857976327e-05	0.704975715167238	0.650379826103619	2.57727089047707	39
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	8.13076092137244e-08	2.49081857976327e-05	0.704975715167238	0.547482459790443	2.40174707963532	68
GOBP_INFLAMMATORY_RESPONSE	1.89496974171518e-07	4.41949054206684e-05	0.690132458796796	0.449601734772828	2.21199371210063	127
GOBP_PROTEIN_TARGETING_TO_MEMBRANE	1.81510737097812e-07	4.41949054206684e-05	0.690132458796796	-0.459856172688868	-2.56754894108485	65
GOBP_OXIDATIVE_PHOSPHORYLATION	3.36126399116819e-07	7.05529311746203e-05	0.674962860011025	-0.604501718096058	-2.63948900531264	29
GOBP_CELLULAR_RESPONSE_TO_LIPID	7.6970377867207e-07	0.000137806450505243	0.659444398037935	0.464085894114176	2.19766567981194	101
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	7.8784059364598e-07	0.000137806450505243	0.659444398037935	-0.484362840272322	-2.52313406639878	52
GOBP_ELECTRON_TRANSPORT_CHAIN	1.47399290071832e-06	0.000237993161431366	0.643551836150722	-0.580421154897807	-2.534343924826	29
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	2.28380278128656e-06	0.000342407288422892	0.627256739718528	-0.638920065320837	-2.57197565548287	21
GOBP_VIRAL_GENE_EXPRESSION	2.88874490623426e-06	0.000404231703879048	0.627256739718528	-0.412502583117248	-2.32631137988885	68
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	3.33865921927671e-06	0.000437990356328863	0.627256739718528	0.402089203432681	2.02841439017602	153
GOBP_TRANSLATIONAL_INITIATION	5.10822442683817e-06	0.000630715474819607	0.610526878385931	-0.42119017856283	-2.35166223961076	65
GOBP_LOCOMOTION	6.20463409061859e-06	0.000723529275344912	0.610526878385931	0.316428787941438	1.73082038701915	397
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	9.98704398129454e-06	0.00110330554298617	0.593325476396405	0.351907959364654	1.85912701728287	232
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1.06926863591794e-05	0.00112219743339588	0.593325476396405	0.345723430688218	1.8399605112146	254
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	1.65898922349004e-05	0.00165819922862171	0.575610261071129	0.330809315156878	1.775195135293	283
GOBP_CELL_MIGRATION	1.76864239979891e-05	0.00166821250898778	0.575610261071129	0.323817908249697	1.75759739944423	337
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	1.92759428700165e-05	0.00166821250898778	0.575610261071129	-0.348753848790739	-2.07513743547615	91
GOBP_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	2.03943516257023e-05	0.00166821250898778	0.575610261071129	0.313839376937616	1.71199767866041	363
GOBP_RESPONSE_TO_INTERLEUKIN_1	2.14586649560124e-05	0.00166821250898778	0.575610261071129	0.547111389591454	2.22105231128619	45
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1.82992325280705e-05	0.00166821250898778	0.575610261071129	0.324452423764006	1.76220210370653	330
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR	2.1264795515345e-05	0.00166821250898778	0.575610261071129	0.513879692961095	2.18307580969381	57
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	2.3546702292914e-05	0.00176516171831523	0.575610261071129	-0.581034167873465	-2.45984406576674	25
GOBP_PROTEIN_TARGETING	2.52284821597323e-05	0.00182602013976821	0.575610261071129	-0.316670722704069	-1.95685446915949	111
GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION	3.89581434995998e-05	0.00266815219469436	0.557332238758646	0.753730837155928	2.2473435397445	13
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	3.94057732422701e-05	0.00266815219469436	0.557332238758646	-0.370863063862782	-2.10574983137849	70
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	4.9159399367605e-05	0.00322454935226884	0.557332238758646	0.362629409689637	1.86799348841345	179
GOBP_RESPONSE_TO_BACTERIUM	5.91568601918526e-05	0.00376273483462723	0.557332238758646	0.429244674965453	2.00469981682683	95
GOBP_RESPONSE_TO_STEROID_HORMONE	6.25450911419958e-05	0.00386123959726615	0.538434096309916	0.470348770059118	2.0390061250247	64
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	7.7493809021302e-05	0.00464741443244894	0.538434096309916	0.313675920025356	1.69959383038633	310
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	8.49867113582742e-05	0.00486921780186095	0.538434096309916	0.325893407252367	1.74242454387676	264
GOBP_RESPONSE_TO_CORTICOSTEROID	8.58318526292782e-05	0.00486921780186095	0.538434096309916	0.558094284781893	2.15563350609162	34
GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	0.000110999052661046	0.00613123714567196	0.538434096309916	0.327890400783142	1.74481731493392	256
GOBP_LEUKOCYTE_MIGRATION	0.000119487445726102	0.00642634922844428	0.538434096309916	0.437525265195416	1.99213364720506	82
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	0.000122464968622092	0.00642634922844428	0.518848077743792	0.369639727403724	1.88394865474224	163
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	0.000127027398361576	0.00650318315026701	0.518848077743792	0.331143044443786	1.75190056814885	237
GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE	0.000136788461604436	0.00683616621208836	0.518848077743792	0.772753215413173	2.13966257248934	10
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	0.000156647965583195	0.0076466065060262	0.518848077743792	0.350115340819347	1.80353043456664	179
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.000163494266389488	0.0077994196625349	0.518848077743792	0.338425785879406	1.775827847035	222
GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	0.000203539142338037	0.00928757956016392	0.518848077743792	0.746764621026182	2.17531785285929	12
GOBP_T_CELL_ACTIVATION	0.000200253609048908	0.00928757956016392	0.518848077743792	0.423320972422802	1.91235437227111	79
GOBP_REGULATION_OF_CELL_ADHESION	0.000208504121459907	0.0093117053392414	0.518848077743792	0.353453303957618	1.80465728274004	171
GOBP_LYMPHOCYTE_ACTIVATION	0.000215699747098102	0.00943237019081075	0.518848077743792	0.397340942942669	1.89157877479073	106
GOBP_REGULATION_OF_RESPONSE_TO_STRESS	0.000250764581389578	0.0107419358436066	0.49849310876659	0.307550906658175	1.65406283671317	286
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	0.00025831018072428	0.0108438613868053	0.49849310876659	0.365143211878576	1.82133979395238	140
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	0.00032141395493151	0.0132283900274753	0.49849310876659	0.366925968103268	1.82056415049461	133
GOBP_CELL_CHEMOTAXIS	0.000450186419603762	0.0178588520585114	0.49849310876659	0.476051974926906	1.99393173525468	52
GOBP_HOMEOSTATIC_PROCESS	0.000459446408365706	0.0178588520585114	0.49849310876659	0.299660406564616	1.62275578499248	309
GOBP_REGULATION_OF_CELL_CELL_ADHESION	0.000457257113951136	0.0178588520585114	0.49849310876659	0.415587104691652	1.91051356326568	86
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.000473889333939904	0.017875717149705	0.49849310876659	0.288329469713793	1.56697031465149	350
GOBP_REGULATION_OF_LIPID_LOCALIZATION	0.000476912892035961	0.017875717149705	0.49849310876659	0.554531839259126	2.06662899519053	30
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	0.000495072366123466	0.0180134279628838	0.477270815362862	0.620533430640519	2.09301164466123	21
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	0.000497750748855294	0.0180134279628838	0.477270815362862	0.338783770734544	1.75226131907007	193
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	0.000511591026805841	0.0182005011061943	0.477270815362862	0.336229900189742	1.72169805781074	174
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	0.000544955512761668	0.019064360354779	0.477270815362862	0.422896011934818	1.88391989639971	74
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	0.00056388174627189	0.0194030784495852	0.477270815362862	-0.523683378877971	-2.16210556253962	23
GOBP_RESPONSE_TO_KETONE	0.000629062335950118	0.0212968039219241	0.477270815362862	0.489614051917245	1.98763623338391	45
GOBP_RESPONSE_TO_ACTIVITY	0.000680460270624653	0.0226712080641452	0.477270815362862	0.613071119459487	2.02161975365203	19
GOBP_LEUKOCYTE_CHEMOTAXIS	0.000734212708943284	0.0237644334598944	0.477270815362862	0.507382694077675	1.98143294352413	36
GOBP_LIPID_LOCALIZATION	0.000735916233870002	0.0237644334598944	0.477270815362862	0.404545249065238	1.8524561011763	84
GOBP_RESPONSE_TO_HORMONE	0.000802202238955594	0.0255124621146635	0.477270815362862	0.328719162754168	1.69331344654877	179
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	0.000828581505566239	0.0259580982116946	0.477270815362862	0.457027824025446	1.93711099494198	56
GOBP_REGULATION_OF_CELL_DEATH	0.000875171356000033	0.0266229663223778	0.477270815362862	0.283709034429251	1.53956117437078	334
GOBP_REPRODUCTION	0.000863870948315494	0.0266229663223778	0.477270815362862	0.330349633037467	1.70204824014462	181
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	0.000923947886348248	0.0277052373349282	0.477270815362862	0.337125723630529	1.7212921354437	171
GOBP_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS	0.000968925437738779	0.0286447111804746	0.477270815362862	0.564461390792523	2.00620772740702	26
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	0.00100872096587115	0.0292802102767697	0.45505986738723	0.457730063787457	1.92796635688182	53
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.00101832079571424	0.0292802102767697	0.45505986738723	0.302529086408732	1.61663835170375	267
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	0.0010550804304387	0.0299272138309571	0.45505986738723	-0.608760970066021	-2.10309117571356	14
GOBP_ACUTE_INFLAMMATORY_RESPONSE	0.00108387085458977	0.030333932317119	0.45505986738723	0.600104564327562	1.99707317630329	20
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	0.00115533513202804	0.031575305412875	0.45505986738723	-0.638186999329743	-2.01678448481718	11
GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION	0.00115831277598446	0.031575305412875	0.45505986738723	0.358553740621772	1.73839642438593	116
GOBP_CYTOKINE_PRODUCTION	0.00119586442215805	0.0321810182321763	0.45505986738723	0.343240548564762	1.71678914505997	144
GOBP_LIPID_STORAGE	0.00127142585301954	0.0337813020947849	0.45505986738723	0.597115229213244	1.96900474393285	19
GOBP_CELL_POPULATION_PROLIFERATION	0.00141378266698831	0.0370941227251059	0.45505986738723	0.282873954631927	1.53532226528718	335
GOBP_REGULATION_OF_LIPID_STORAGE	0.00159794281516168	0.0409034386466386	0.45505986738723	0.649981640341971	2.00572737692058	15
GOBP_REGULATION_OF_MUSCLE_HYPERTROPHY	0.00159568656330126	0.0409034386466386	0.45505986738723	0.59053270067068	1.96521920735737	20
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	0.00166751473621772	0.042033544230154	0.45505986738723	0.445170598974502	1.87506569001397	53
GOBP_REGULATION_OF_CELL_ACTIVATION	0.00168214278958215	0.042033544230154	0.45505986738723	0.368157587151749	1.73598961000104	98
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	0.0017036967182806	0.0420712871961291	0.45505986738723	0.284054387051697	1.54152518715252	328
GOBP_MUSCLE_HYPERTROPHY	0.00173253612260976	0.0422859688529988	0.45505986738723	0.550763720762624	1.95752349158556	26
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	0.00185131951790854	0.0446657433113797	0.45505986738723	0.36684503092509	1.75588703197959	109
GOBP_PROTEIN_PHOSPHORYLATION	0.00189014675086594	0.0450758004271812	0.45505986738723	0.284473084361554	1.54506186729688	330
GOBP_RESPONSE_TO_NITROGEN_COMPOUND	0.00191126547785571	0.0450758004271812	0.45505986738723	0.302122270372743	1.59413748203307	231
GOBP_CELLULAR_RESPIRATION	0.00197145510331691	0.045178833463852	0.431707695803346	-0.388488854970014	-1.85297317385467	37
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	0.00198020613562381	0.045178833463852	0.431707695803346	0.415025940598104	1.79917645966696	64
GOBP_RESPONSE_TO_INTERLEUKIN_6	0.00195873809019242	0.045178833463852	0.431707695803346	0.658700709506657	1.96399923044234	13
GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR	0.00202692917825589	0.0457475736038615	0.431707695803346	0.614084206917128	1.93572162308585	16
GOBP_ATP_METABOLIC_PROCESS	0.00207086710108143	0.0462420217571267	0.431707695803346	-0.325411510837605	-1.77761302084602	60
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	0.00213284508839557	0.0471246509530769	0.431707695803346	0.656067837865631	1.95614899162796	13
GOBP_CELL_ACTIVATION	0.00226065396199475	0.0477922232404602	0.431707695803346	0.295349980438335	1.57202720661271	255
GOBP_INOSITOL_PHOSPHATE_MEDIATED_SIGNALING	0.00219364363578472	0.0477922232404602	0.431707695803346	0.608933884990406	1.95459485829455	17
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS	0.00230650734056302	0.0477922232404602	0.431707695803346	0.457661721541841	1.84324008832537	43
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	0.00232742382255219	0.0477922232404602	0.431707695803346	0.568418006650637	1.94057982445962	22
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	0.00230755873250803	0.0477922232404602	0.431707695803346	0.28514177837908	1.54605474577202	312
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	0.00226270724078635	0.0477922232404602	0.431707695803346	0.397724330889952	1.74477416240966	68
GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	0.00226305635727848	0.0477922232404602	0.431707695803346	0.298404889049996	1.58040334549292	239
GOBP_RESPONSE_TO_OXYGEN_LEVELS	0.00236540617391844	0.0477922232404602	0.431707695803346	0.377476984962047	1.73808461541705	88
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	0.0023679805702753	0.0477922232404602	0.431707695803346	-0.582939939830937	-2.08326875040457	15
GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	0.00250884929462471	0.0492156511160492	0.431707695803346	0.607805278631479	1.91592913027228	16
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	0.00250692810491544	0.0492156511160492	0.431707695803346	0.484019297668379	1.91803127379158	39
GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS	0.00250000186926242	0.0492156511160492	0.431707695803346	0.369039635596412	1.73131464842881	96
GOBP_VASCULATURE_DEVELOPMENT	0.00257689074203825	0.0500823487735026	0.431707695803346	0.307294575050879	1.59435061958324	199
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	0.00261995810858395	0.0504522208249331	0.431707695803346	0.481151164581318	1.90629025964707	38
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.00267482390631621	0.0510405034487065	0.431707695803346	0.600088938872005	1.9262037855836	17
GOBP_EPITHELIAL_CELL_APOPTOTIC_PROCESS	0.00271559200413542	0.0513516001502724	0.431707695803346	0.503521906086086	1.90676245081591	32
GOBP_DETECTION_OF_STIMULUS	0.00274427184768721	0.0514305947169236	0.431707695803346	-0.427693436879014	-1.8959777666945	30
GOBP_NEGATIVE_REGULATION_OF_DNA_METABOLIC_PROCESS	0.00281670956887458	0.0518620472374364	0.431707695803346	0.572821961981761	1.90628007696134	20
GOBP_REGULATION_OF_HORMONE_LEVELS	0.00281072068282745	0.0518620472374364	0.431707695803346	0.393808475152088	1.71903571881961	66
GOBP_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	0.00311434411220913	0.0563535197545428	0.431707695803346	0.585308242486454	1.89491886259053	18
GOBP_MULTI_ORGANISM_PROCESS	0.00308972444830756	0.0563535197545428	0.431707695803346	0.326785278025657	1.65103653315753	155
GOBP_LEUKOCYTE_DIFFERENTIATION	0.00321752123170969	0.0572337039437174	0.431707695803346	0.379472952086559	1.74449162081617	86
GOBP_TAXIS	0.00320660389972999	0.0572337039437174	0.431707695803346	0.341486092533696	1.66760734168365	122
GOBP_B_CELL_ACTIVATION	0.00333215974615404	0.0578956402041853	0.431707695803346	0.472965569612352	1.8738594538891	38
GOBP_CHEMICAL_HOMEOSTASIS	0.00328440342902958	0.0578956402041853	0.431707695803346	0.311961631222965	1.60701542328019	182
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	0.00336506341348767	0.0578956402041853	0.431707695803346	0.29166454611228	1.56298536904788	274
GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	0.00333988357177689	0.0578956402041853	0.431707695803346	0.30435545061499	1.59149008346467	208
GOBP_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS	0.00346266021495781	0.0590904373268003	0.431707695803346	0.688500675643116	1.90637722033875	10
GOBP_RESPONSE_TO_PEPTIDE	0.00353825650216983	0.0598935515972136	0.431707695803346	0.333100798393431	1.6204548526729	118
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	0.00369592909428333	0.0620620413512057	0.431707695803346	0.267831901150579	1.45557316370131	350
GOBP_BLOOD_VESSEL_MORPHOGENESIS	0.00385442555053468	0.0642098351632722	0.431707695803346	0.313660832546633	1.60643322480786	175
GOBP_REGULATION_OF_B_CELL_ACTIVATION	0.00396025754953903	0.0654533905234837	0.407017918923954	0.537763753254975	1.86906215270271	24
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	0.00415913351252624	0.0662992092055394	0.407017918923954	0.326181787846366	1.62969539965524	143
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	0.0041600205971582	0.0662992092055394	0.407017918923954	-0.558489968766042	-1.92941956332881	14
GOBP_PEPTIDYL_TYROSINE_MODIFICATION	0.00416936427590815	0.0662992092055394	0.407017918923954	0.404924314980543	1.79710830445328	73
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.00412506681490313	0.0662992092055394	0.407017918923954	0.683042504963403	1.89126418905697	10
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.00412506681490313	0.0662992092055394	0.407017918923954	0.683042504963403	1.89126418905697	10
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.00425471291005924	0.0671476872046192	0.407017918923954	0.310529294357219	1.58423154914836	165
GOBP_NUCLEOTIDE_EXCISION_REPAIR	0.00443603002076186	0.0694867687580533	0.407017918923954	-0.512419040537124	-1.91338183558803	17
GOBP_CELL_CELL_ADHESION	0.00473987150035451	0.0731543402885597	0.407017918923954	0.309148131702803	1.58061951848738	173
GOBP_MYELOID_LEUKOCYTE_MIGRATION	0.00472624003849333	0.0731543402885597	0.407017918923954	0.473317151191684	1.8281826887286	34
GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	0.00495351870856614	0.0758936917465717	0.407017918923954	0.365310927691597	1.69567122347927	90
GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	0.00504770986655339	0.0767763986224317	0.407017918923954	0.553335633823691	1.84143200617099	20
GOBP_EPITHELIAL_CELL_PROLIFERATION	0.00521963898148795	0.0780465381616205	0.407017918923954	0.362051821215148	1.66486957152712	87
GOBP_REGULATION_OF_CELL_SHAPE	0.00524276411662148	0.0780465381616205	0.407017918923954	0.456518808891083	1.81895012476321	41
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS	0.00520855479886328	0.0780465381616205	0.407017918923954	0.438317316006431	1.77939210609344	45
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	0.00531690172779502	0.0785927938495897	0.407017918923954	0.37200413821117	1.65720644730759	74
GOBP_REGULATION_OF_ION_TRANSPORT	0.00546504553428342	0.0791112453549028	0.407017918923954	0.289256786774306	1.5139816737343	218
GOBP_REGULATION_OF_MUSCLE_ADAPTATION	0.00542708732267783	0.0791112453549028	0.407017918923954	0.543464767342449	1.87766373187054	23
