pathway	pval	padj	log2err	ES	NES	size
GOBP_RESPONSE_TO_CYTOKINE	6.99683861892673e-20	1.27272494478277e-16	1.15122052214226	0.533777243975768	2.73352780662025	200
GOBP_CELL_ACTIVATION	4.88058949551186e-17	4.43889614616804e-14	1.06720998682811	0.508101707112462	2.61433946744738	209
GOBP_CYTOKINE_PRODUCTION	4.24542004661307e-14	2.57413968826306e-11	0.965327754226083	0.568918684650479	2.76145817033266	112
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	2.07166538769038e-13	9.42089835052199e-11	0.943632225232838	0.537871396160704	2.63687156127056	132
GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	7.00899731658194e-13	2.12489435314376e-10	0.921426003494898	0.499040771816535	2.49966565419085	160
GOBP_RESPONSE_TO_LIPID	6.76495133986881e-13	2.12489435314376e-10	0.921426003494898	0.520070366514281	2.56383988887389	139
GOBP_INFLAMMATORY_RESPONSE	1.96703224629691e-12	5.11147379430582e-10	0.898671232061694	0.560822028912906	2.70102971430641	104
GOBP_REGULATION_OF_CELL_DEATH	4.85453187077393e-12	1.10379918411722e-09	0.887074988399873	0.430247033399112	2.25252435240214	264
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	6.15140791546126e-12	1.24326788869156e-09	0.887074988399873	0.416306601259098	2.19837006871343	287
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	7.45716980985709e-12	1.356459188413e-09	0.875325132024659	0.44562008268064	2.29619837318304	216
GOBP_DEFENSE_RESPONSE	8.85424190033009e-12	1.46416963788186e-09	0.875325132024659	0.455379686994704	2.33080428815497	199
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	3.71344088603203e-11	5.62895747641022e-09	0.851339057116899	0.448824175734412	2.31374002503546	211
GOBP_CELL_POPULATION_PROLIFERATION	4.6962205534242e-11	6.5710962974451e-09	0.851339057116899	0.407907488586973	2.15401728197812	287
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	3.96776120147161e-10	5.15525544676919e-08	0.814035837847908	0.496152669747881	2.43689700489639	125
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	5.67095023872475e-10	6.82962912737771e-08	0.801215574617779	0.403766795514788	2.11596221189959	260
GOBP_RESPONSE_TO_BIOTIC_STIMULUS	6.00737031545043e-10	6.82962912737771e-08	0.801215574617779	0.445599110803155	2.26513417295712	182
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	6.86141718794727e-10	6.9338432582645e-08	0.801215574617779	0.482648210614673	2.37902134404168	137
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	6.73165364523439e-10	6.9338432582645e-08	0.801215574617779	0.627430089334825	2.66520755671341	55
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	8.22039747068571e-10	7.86994894693543e-08	0.801215574617779	0.417632949143436	2.16429619944268	235
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	1.15207815422871e-09	9.98672974029762e-08	0.788186810800237	0.465780794681833	2.32403295767138	155
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	1.20785076573143e-09	9.98672974029762e-08	0.788186810800237	0.598374376982499	2.59897294818012	61
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1.18356019398421e-09	9.98672974029762e-08	0.788186810800237	0.418669810920809	2.16480229649826	224
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	1.53561350857411e-09	1.21446998786796e-07	0.788186810800237	0.517963107395729	2.4814131461302	102
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1.7539835893754e-09	1.32937339544744e-07	0.788186810800237	0.425066830682974	2.17472406469872	196
GOBP_LOCOMOTION	2.36054942344628e-09	1.71753576049951e-07	0.774939030136436	0.379523483108705	2.0173828626763	318
GOBP_VASCULATURE_DEVELOPMENT	2.4843898107577e-09	1.73811733298779e-07	0.774939030136436	0.451035597520581	2.25522128296159	158
GOBP_CELL_MIGRATION	2.74946358674093e-09	1.78616938010063e-07	0.774939030136436	0.396229628774973	2.08136236110581	271
GOBP_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	2.73259571197565e-09	1.78616938010063e-07	0.774939030136436	0.386068821940325	2.04554897068246	301
GOBP_RESPONSE_TO_BACTERIUM	3.16684304200191e-09	1.98637499772464e-07	0.774939030136436	0.556725169568215	2.53320067273137	75
GOBP_IMMUNE_EFFECTOR_PROCESS	3.89136288001019e-09	2.35946302624618e-07	0.761460801445585	0.449305414631807	2.2531970189314	162
