pathway	pval	padj	log2err	ES	NES	size
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	7.60064668818093e-16	1.81807468781288e-12	1.02766987054358	0.531677938283944	3.11839008407458	113
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	2.23097562532791e-13	2.66824684789218e-10	0.943632225232838	0.358389332248445	2.49091184573063	306
GOBP_VASCULATURE_DEVELOPMENT	5.71572717868181e-13	4.5573398038023e-10	0.921426003494898	0.391441204325127	2.60962993140911	219
GOBP_BLOOD_VESSEL_MORPHOGENESIS	5.23972353501913e-12	2.50668373915315e-09	0.887074988399873	0.405387751134732	2.63008089567207	183
GOBP_RESPONSE_TO_CYTOKINE	4.70779124886006e-12	2.50668373915315e-09	0.887074988399873	0.352768324880275	2.43686117106644	286
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1.06708804747092e-11	4.25412434925075e-09	0.875325132024659	0.354674236819483	2.43630546215895	276
GOBP_INFLAMMATORY_RESPONSE	1.80287028466007e-11	6.16066531558126e-09	0.863415391606693	0.440111495495259	2.73220249599963	142
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	2.37911040778427e-11	7.11354011927496e-09	0.863415391606693	0.315153646552916	2.27564889196415	379
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	5.36139039892262e-11	1.39405650154512e-08	0.851339057116899	0.336981108508759	2.33682206106246	298
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	5.82799540779733e-11	1.39405650154512e-08	0.839088935621274	0.326435712315277	2.30997230726608	330
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR	6.45797579111822e-11	1.40431619021407e-08	0.839088935621274	0.575078104669748	2.90600356338994	59
GOBP_BIOLOGICAL_ADHESION	3.56250585881635e-10	7.10126167857392e-08	0.814035837847908	0.302468859037232	2.18561120041995	381
