pathway	pval	padj	log2err	ES	NES	size
GOBP_RESPONSE_TO_CYTOKINE	2.99466367607826e-15	6.21093246418632e-12	1.00731795687447	0.464521313030683	2.523504957789	236
GOBP_INFLAMMATORY_RESPONSE	4.11244148343049e-13	4.26460181831742e-10	0.932595211336209	0.541755592144144	2.71234550109309	118
GOBP_DEFENSE_RESPONSE	1.01561442189718e-12	7.02128103671582e-10	0.910119734774459	0.44453101729887	2.3957907140558	226
GOBP_CYTOKINE_PRODUCTION	1.42020106366396e-11	7.36374251509761e-09	0.875325132024659	0.502537464015016	2.56630427096448	134
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	3.07761126567671e-11	1.2765931530027e-08	0.851339057116899	0.642861507894775	2.82993893755716	57
GOBP_RESPONSE_TO_LIPID	2.49909761858455e-10	8.63854743490725e-08	0.814035837847908	0.468701354519118	2.44545808846323	153
GOBP_RESPONSE_TO_BIOTIC_STIMULUS	8.93361456487849e-10	2.64690237250828e-07	0.801215574617779	0.427622781053225	2.28587025067943	203
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	1.61179819831991e-09	4.17858682914436e-07	0.788186810800237	0.458300324353734	2.38886352671445	151
GOBP_RESPONSE_TO_BACTERIUM	2.10100778461292e-09	4.84165571698577e-07	0.774939030136436	0.534704453231526	2.53406657835705	84
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1.45881542239549e-08	3.02558318604825e-06	0.747739663149885	0.364343933132615	2.04732778975819	317
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	2.00214140885635e-08	3.77494661997097e-06	0.73376198835648	0.378652304935386	2.07079757221534	253
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	2.58772594348007e-08	4.47245300564805e-06	0.73376198835648	0.662681159474077	2.64593481709617	36
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	5.17654522108916e-08	8.25858060656839e-06	0.719512826338911	0.404473725690474	2.13857530911638	193
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	6.23768982084691e-08	9.24069192031178e-06	0.704975715167238	0.364320763225765	2.0100887684219	277
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	7.41580526070857e-08	1.02535867404731e-05	0.704975715167238	0.628240556375906	2.54410606872015	40
GOBP_CELL_ACTIVATION	1.14689557831868e-07	1.48666339339559e-05	0.704975715167238	0.377140208975227	2.06088367927467	243
GOBP_VASCULATURE_DEVELOPMENT	1.6753740746741e-07	2.0439563711024e-05	0.690132458796796	0.401286124688176	2.1249387242635	186
GOBP_IMMUNE_EFFECTOR_PROCESS	1.89999681487677e-07	2.15276925213516e-05	0.690132458796796	0.395811714277979	2.08803575485376	185
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	1.97216083850377e-07	2.15276925213516e-05	0.690132458796796	0.523589189412932	2.41190127791151	72
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	2.77051034484993e-07	2.87301922760938e-05	0.674962860011025	0.371053449031855	2.02235093053009	241
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	4.07322147294901e-07	4.02279111185536e-05	0.674962860011025	0.530483692053947	2.39165927878481	65
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	4.48464478817546e-07	4.22779695030723e-05	0.674962860011025	0.387265013424271	2.03795538652325	183
GOBP_RESPONSE_TO_INTERLEUKIN_1	5.0897134547484e-07	4.58959378484703e-05	0.659444398037935	0.617527040235942	2.48837561070506	38
