pathway	pval	padj	log2err	ES	NES	size
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1.87107256521657e-13	3.83756983125918e-10	0.943632225232838	0.422456779735093	2.65653229613997	212
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	4.38609948358099e-13	4.49794502041231e-10	0.932595211336209	0.40087165157042	2.57139115361063	245
GOBP_LOCOMOTION	9.00766715500014e-13	4.61868133372632e-10	0.921426003494898	0.349204245983508	2.36013568814159	375
GOBP_VASCULATURE_DEVELOPMENT	8.4315866540695e-13	4.61868133372632e-10	0.921426003494898	0.436491653272155	2.67864234083936	179
GOBP_BLOOD_VESSEL_MORPHOGENESIS	4.39234984760506e-12	1.8017419074876e-09	0.887074988399873	0.451164961476067	2.68582317444691	150
GOBP_TUBE_DEVELOPMENT	5.83523771882926e-12	1.9946787602198e-09	0.887074988399873	0.396969470233072	2.51556331830965	217
GOBP_CELL_MIGRATION	2.26990032970281e-11	6.65080796602923e-09	0.863415391606693	0.343977040129517	2.28723445665105	321
GOBP_TUBE_MORPHOGENESIS	1.05753285969616e-10	2.71124986904603e-08	0.839088935621274	0.406978617982346	2.49673660001512	182
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	1.51742188441703e-10	3.45803587215481e-08	0.826657301178302	0.582862758266835	2.90930925805502	60
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	4.59813592841317e-10	9.4307767891754e-08	0.814035837847908	0.332698659898194	2.21524687581606	324
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	2.14670149076102e-09	4.00262250686441e-07	0.774939030136436	0.349957555316169	2.25528127299099	254
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	2.47278342463618e-09	4.226399003274e-07	0.774939030136436	0.48962129469541	2.65128948207033	92
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	3.37344467711854e-09	5.32225771751548e-07	0.774939030136436	0.652305678093368	2.83459130588512	35
