pathway	pval	padj	log2err	ES	NES	size
GOBP_INFLAMMATORY_RESPONSE	2.31041445452329e-13	3.62198612407457e-10	0.932595211336209	0.580715948756768	2.82483493182113	92
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	4.50686195278402e-13	3.62198612407457e-10	0.932595211336209	0.693311329255941	2.99978234332085	48
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	6.18438154366744e-13	3.62198612407457e-10	0.921426003494898	0.432631192265823	2.40327913394628	251
GOBP_RESPONSE_TO_CYTOKINE	2.54402476450173e-12	1.11746287780738e-09	0.898671232061694	0.465411267638399	2.49861224152719	186
GOBP_RESPONSE_TO_LIPID	8.28659338825319e-11	2.91190891663217e-08	0.839088935621274	0.495026688588691	2.54032822451061	131
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	3.93629376505272e-10	9.88009735028233e-08	0.814035837847908	0.743603742545394	2.81463033895532	28
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	3.93629376505272e-10	9.88009735028233e-08	0.814035837847908	0.743603742545394	2.81463033895532	28
GOBP_RESPONSE_TO_NITROGEN_COMPOUND	1.93701509554245e-09	4.25416940358512e-07	0.774939030136436	0.435632318184631	2.32741866169713	179
GOBP_DEFENSE_RESPONSE	2.78231964062106e-09	5.43170623174577e-07	0.774939030136436	0.43219314349163	2.29827338973302	175
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	4.85011061889839e-09	8.52164435740447e-07	0.761460801445585	0.425810692691264	2.28471884994655	183
GOBP_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	6.78399800071911e-09	9.42437043885442e-07	0.761460801445585	0.376588069025965	2.11026505946434	274
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	6.97306862294294e-09	9.42437043885442e-07	0.761460801445585	0.415919771186604	2.23243502253381	184
GOBP_RESPONSE_TO_BACTERIUM	6.14776880198361e-09	9.42437043885442e-07	0.761460801445585	0.558211311850518	2.61085542250713	69
GOBP_CYTOKINE_PRODUCTION	1.60623675508876e-08	2.01582712763639e-06	0.73376198835648	0.481614373451532	2.39292577094012	105
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	6.05831936298828e-08	7.09631141384694e-06	0.704975715167238	0.368510155544394	2.05804104875935	265
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	6.92195268432865e-08	7.6011692914784e-06	0.704975715167238	0.432081465464154	2.25858127399925	149
GOBP_CELL_ACTIVATION	1.11209214726702e-07	1.08552550152675e-05	0.704975715167238	0.393782077411447	2.13264454910243	201
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1.0914714418007e-07	1.08552550152675e-05	0.704975715167238	0.404805598627911	2.16526048766228	182
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	1.28189150728927e-07	1.18541230437224e-05	0.690132458796796	0.396949248918172	2.15332813852938	196
GOBP_CELL_MIGRATION	1.53793463205048e-07	1.29286357907375e-05	0.690132458796796	0.360455973379247	2.01182622222281	264
GOBP_VASCULATURE_DEVELOPMENT	1.54525527379332e-07	1.29286357907375e-05	0.690132458796796	0.42832858174214	2.230388110458	145
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE	2.28279470382891e-07	1.79781541027677e-05	0.690132458796796	0.583967554069161	2.5266795505115	48
GOBP_REGULATION_OF_RESPONSE_TO_STRESS	2.35342939307716e-07	1.79781541027677e-05	0.690132458796796	0.379189255400796	2.06020417454743	212
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	3.40981386294796e-07	2.44974959955409e-05	0.674962860011025	0.431359296638864	2.18423835240788	121
GOBP_LEUKOCYTE_MIGRATION	3.59882655494563e-07	2.44974959955409e-05	0.674962860011025	0.553982675996359	2.49519019537295	57
GOBP_RESPONSE_TO_INTERLEUKIN_1	3.6251274666139e-07	2.44974959955409e-05	0.674962860011025	0.68002224656051	2.60271868678331	29
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	4.30367572670957e-07	2.70055651851025e-05	0.674962860011025	0.419711827218029	2.19406709576192	148
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	4.18038330866392e-07	2.70055651851025e-05	0.674962860011025	0.427553181946298	2.20550982166861	137
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	7.60273216417846e-07	4.12268125497148e-05	0.659444398037935	0.388574856184003	2.07844403695523	182
GOBP_BLOOD_VESSEL_MORPHOGENESIS	7.42673440343251e-07	4.12268125497148e-05	0.659444398037935	0.433778078106522	2.20654478870007	123
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	7.34533648608667e-07	4.12268125497148e-05	0.659444398037935	0.54758081022153	2.46635558843381	57
GOBP_RESPONSE_TO_INORGANIC_SUBSTANCE	7.74322603381097e-07	4.12268125497148e-05	0.659444398037935	0.465301756013153	2.27608951685129	94
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR	7.46483093616775e-07	4.12268125497148e-05	0.659444398037935	0.612640984416357	2.5160760759315	39
GOBP_CELL_POPULATION_PROLIFERATION	8.48609527974548e-07	4.3853145313273e-05	0.659444398037935	0.356996095539978	1.99820016989262	270
GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	9.6365594801424e-07	4.83755285903149e-05	0.643551836150722	0.387104353853932	2.0589025311591	174
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	1.02254142740673e-06	4.99057024431561e-05	0.643551836150722	0.366944455158924	2.01699560095656	221
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1.08623929015021e-06	5.15816873728085e-05	0.643551836150722	0.37999548934662	2.06116840996321	204
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.86953648724224e-06	8.55002434687487e-05	0.643551836150722	0.340408697769207	1.90702436805614	269
GOBP_RESPONSE_TO_BIOTIC_STIMULUS	1.89784262679636e-06	8.55002434687487e-05	0.643551836150722	0.393830533516264	2.08733176991184	165
GOBP_CELLULAR_RESPONSE_TO_LIPID	2.18151685462395e-06	9.58231278393569e-05	0.627256739718528	0.479070201462833	2.30042118313194	83
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	2.43376739260576e-06	0.000104295836800203	0.627256739718528	0.390990889485406	2.07102495540402	164
GOBP_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY	2.58388993197484e-06	0.000108092728820948	0.627256739718528	0.76238915347491	2.4548937203417	15
GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION	2.94712466636253e-06	0.000120420884623232	0.627256739718528	0.825001731040591	2.41268687957312	11
GOBP_LOCOMOTION	4.0120144350612e-06	0.00015841836191733	0.610526878385931	0.327585355870088	1.84521865639736	305
GOBP_REGULATION_OF_CELL_DEATH	4.16539012189515e-06	0.00015841836191733	0.610526878385931	0.352004696140813	1.94163083356548	234
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	4.08590852541444e-06	0.00015841836191733	0.610526878385931	0.346031596225409	1.91728707069444	240
GOBP_T_CELL_ACTIVATION	4.23771372231902e-06	0.00015841836191733	0.610526878385931	0.498407826693502	2.31538997214728	66
GOBP_LYMPHOCYTE_ACTIVATION	4.46020703467271e-06	0.000161819978148648	0.610526878385931	0.461427579257548	2.23323707754658	88
GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	4.51290775713361e-06	0.000161819978148648	0.610526878385931	0.369887192268191	2.00520935724626	197
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	4.73901315096826e-06	0.000166528922125025	0.610526878385931	0.42137066977113	2.12902513710696	116
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	5.03033934249537e-06	0.000173300122054203	0.610526878385931	0.408035258535192	2.10683182997169	138
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	8.77007239154285e-06	0.000296327253691169	0.593325476396405	0.356237234154739	1.9370100974453	207
GOBP_REGULATION_OF_CELL_CELL_ADHESION	9.90918646005346e-06	0.000328498879439885	0.593325476396405	0.457291749850718	2.15076236663216	74
GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1.0444334380756e-05	0.000339827694573858	0.593325476396405	0.489813483203761	2.26677201351517	64
GOBP_RESPONSE_TO_OXIDATIVE_STRESS	1.13728699597382e-05	0.000363311500350181	0.593325476396405	0.443738408414044	2.14637446194213	87
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	1.23775287787529e-05	0.000374953759728773	0.593325476396405	0.337464901225941	1.88002001772973	253
GOBP_REGULATION_OF_DEFENSE_RESPONSE	1.2241011708154e-05	0.000374953759728773	0.593325476396405	0.445237191102644	2.14657844797719	85
GOBP_REGULATION_OF_HEMOPOIESIS	1.1974261916348e-05	0.000374953759728773	0.593325476396405	0.48320933520823	2.24478426956387	66
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1.43764492226905e-05	0.000420990354737785	0.593325476396405	0.708766218862765	2.36372997933342	17
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	1.43245557776578e-05	0.000420990354737785	0.593325476396405	0.438320254952095	2.13216525250288	92
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	1.59427139938763e-05	0.000459202434217059	0.575610261071129	0.388777642689778	2.02421843741508	143
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	1.69286383376633e-05	0.000479735767085071	0.575610261071129	0.618409980625474	2.34075676841416	28
GOBP_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR	2.16425512008716e-05	0.000603586705713198	0.575610261071129	0.613861737956262	2.30739681776811	27
GOBP_RESPONSE_TO_METAL_ION	2.26498078077015e-05	0.000621808004970806	0.575610261071129	0.513598963605825	2.28456907828547	54
GOBP_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS	2.50172759775236e-05	0.000676236213730907	0.575610261071129	0.660099048640306	2.35740783951597	21
GOBP_CELL_CHEMOTAXIS	2.62299803304122e-05	0.000698273870311124	0.575610261071129	0.548212753009183	2.27195264942676	40
GOBP_EPITHELIAL_CELL_APOPTOTIC_PROCESS	2.77103989018826e-05	0.000707341391861257	0.575610261071129	0.609325426655495	2.29034563243989	27
GOBP_RESPONSE_TO_INTERLEUKIN_6	2.70727624032212e-05	0.000707341391861257	0.575610261071129	0.747984289111635	2.24218460967936	12
GOBP_RESPONSE_TO_PEPTIDE	2.77783472045684e-05	0.000707341391861257	0.575610261071129	0.430175379107188	2.08493235073698	89
GOBP_MYELOID_LEUKOCYTE_MIGRATION	2.95221042735425e-05	0.000730568129698792	0.575610261071129	0.625643946909278	2.29828411197833	25
GOBP_POSITIVE_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II	2.92737533292475e-05	0.000730568129698792	0.575610261071129	0.746646684730041	2.2381749586721	12
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	3.49445487918263e-05	0.000852744058711651	0.557332238758646	0.392084079405251	1.98733706773415	119
GOBP_SPROUTING_ANGIOGENESIS	3.5543708508974e-05	0.000855483504798182	0.557332238758646	0.607961088450466	2.3269116470094	29
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	3.72063996878907e-05	0.000883400597994919	0.557332238758646	0.528003441831893	2.24073454337989	45
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	3.96450212874675e-05	0.000922494539876502	0.557332238758646	0.519879484054755	2.24938672009858	48
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	3.99030079855516e-05	0.000922494539876502	0.557332238758646	0.644570844953172	2.30637667745703	22
GOBP_RESPONSE_TO_CORTICOSTEROID	4.48007557816011e-05	0.00102227179101653	0.557332238758646	0.604188002379229	2.31247052883404	29
GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	4.9629780881061e-05	0.00111476932107389	0.557332238758646	0.364798789720043	1.92236707169338	157
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	5.04101953222615e-05	0.00111476932107389	0.557332238758646	0.53676562288261	2.22451242211237	40
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	5.07578518417254e-05	0.00111476932107389	0.557332238758646	0.554013634712602	2.27529742132448	39
GOBP_TUBE_DEVELOPMENT	5.24324395459561e-05	0.00113733081829932	0.557332238758646	0.356079359633093	1.89662283704954	176
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	5.42048943943871e-05	0.00116143901769437	0.557332238758646	0.397095757554277	1.98758328673997	109
GOBP_REGULATION_OF_IMMUNE_RESPONSE	5.87233751681792e-05	0.00124309602615049	0.557332238758646	0.400685887695412	1.99612431119894	106
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	6.05276290932609e-05	0.00126603624186737	0.557332238758646	0.335201146110717	1.83005569531201	216
GOBP_EPITHELIAL_CELL_DIFFERENTIATION	6.23862530500366e-05	0.00128956054834017	0.538434096309916	0.410793771522936	2.02233381030213	95
GOBP_REGULATION_OF_CELL_ACTIVATION	6.73197906747062e-05	0.00137535897924952	0.538434096309916	0.443265036611225	2.1148403433492	79
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	7.48892132556056e-05	0.00151241778954137	0.538434096309916	0.370527077966735	1.92940472461225	145
GOBP_LEUKOCYTE_DIFFERENTIATION	7.61819288838615e-05	0.00152104146646528	0.538434096309916	0.450936260328122	2.11982357380348	73
