pathway	pval	padj	log2err	ES	NES	size
GOBP_RESPONSE_TO_CYTOKINE	8.50684280515036e-19	1.43000027554577e-15	1.12391496374483	0.564223874173145	2.72055355265187	175
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	2.79366008663419e-14	2.34807130281604e-11	0.97599468306432	0.582635287273696	2.67561767046052	111
GOBP_CELL_ACTIVATION	2.33688576099173e-12	1.3094349880757e-09	0.898671232061694	0.490939066541585	2.37560139948461	185
GOBP_CYTOKINE_PRODUCTION	7.9645291053466e-12	3.34709335652191e-09	0.875325132024659	0.565099908157181	2.54263280139511	101
GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	1.49228255778654e-11	5.01705395927835e-09	0.863415391606693	0.510519598173488	2.39247045666091	139
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	4.67252420286813e-11	9.38281620335303e-09	0.851339057116899	0.54696099965177	2.50905050730922	110
GOBP_REGULATION_OF_CELL_DEATH	5.02351849078984e-11	9.38281620335303e-09	0.851339057116899	0.447352197419342	2.1951770485641	230
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	4.52057560957017e-11	9.38281620335303e-09	0.851339057116899	0.473268636962369	2.28846677693847	184
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	3.77083483547523e-11	9.38281620335303e-09	0.851339057116899	0.442958862328341	2.18373418181896	251
GOBP_INFLAMMATORY_RESPONSE	1.04169208745216e-10	1.75108439900707e-08	0.839088935621274	0.565801218934777	2.51189387367494	91
GOBP_RESPONSE_TO_LIPID	1.37692960807075e-10	2.10419879196994e-08	0.826657301178302	0.515277692110424	2.3836966351171	126
GOBP_CELL_MIGRATION	2.02930187222284e-10	2.8427137060055e-08	0.826657301178302	0.436331242452101	2.14106817592471	232
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	2.52273142155416e-10	3.26208578433272e-08	0.814035837847908	0.653176058000395	2.62800648421276	52
GOBP_REGULATION_OF_RESPONSE_TO_STRESS	6.27844907551972e-10	7.53862349710618e-08	0.801215574617779	0.450445030093065	2.19383445399438	198
GOBP_RESPONSE_TO_BACTERIUM	9.91860013620099e-10	1.11154445526359e-07	0.788186810800237	0.594814541883042	2.53724742858373	69
GOBP_DEFENSE_RESPONSE	2.2010222330946e-09	2.31244898364502e-07	0.774939030136436	0.46404154398949	2.22922222964728	170
GOBP_LOCOMOTION	2.79928682921427e-09	2.7271698323774e-07	0.774939030136436	0.404307100819795	2.01187997106785	278
GOBP_RESPONSE_TO_BIOTIC_STIMULUS	2.92022944573428e-09	2.7271698323774e-07	0.774939030136436	0.47452855126997	2.25383767830501	153
