"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcified","log1p_avg_controls"
"1","ABCA1",9.99885752660068e-165,0.27341081810729,0.453,0.264,1.99977150532014e-161,0.458760184980566,0.766013151675421
"2","ABL2",4.76538435267308e-40,0.279934146099006,0.541,0.343,9.53076870534616e-37,0.941148007607675,1.41111004518293
"3","ABLIM1",3.9623098398785e-128,0.272633050841291,0.515,0.386,7.924619679757e-125,1.00729496610101,1.37026146282844
"4","AC008014.1",0,-0.302080632651579,0.892,0.398,0,0.811912926758682,0.495012446246061
"5","AC016708.1",0,0.330317248709233,0.313,0.286,0,0.155111117115534,0.541138267939852
"6","AC024901.1",0,-0.285144485625052,0.879,0.491,0,1.28039050605039,0.975811283979249
"7","AC098829.1",2.93037071354642e-65,-0.302253568005665,0.911,0.611,5.86074142709284e-62,1.88242195346203,1.45969900582428
"8","ACKR1",0,0.513306023414165,0.197,0.199,0,0.235584852479998,0.866217981428483
"9","ADAMTS1",1.05403278342206e-171,0.262706873729005,0.697,0.414,2.10806556684412e-168,0.743733144378125,2.15944635946998
"10","ADAMTS4",0,0.794840419626633,0.364,0.185,0,0.0309654404449207,1.33574814914284
"11","ADAMTS9",0,0.320395660507704,0.699,0.329,0,0.605567338733496,2.67751967827436
"12","ADGRB3",1.63423360593379e-111,-0.417175473300563,0.878,0.517,3.26846721186758e-108,1.76040220957601,1.1275635036234
"13","ADGRL4",0,0.481215734614734,0.367,0.334,0,0.434042183878413,0.93187240800161
"14","ADRA1A",0,-0.379719103490399,0.977,0.505,0,1.28743111600341,0.733278995142701
"15","AKAP12",1.88525892261489e-07,0.393562256410192,0.584,0.415,0.000377051784522977,1.17044291656109,2.26779923908761
"16","ANKRD28",7.89549397672846e-48,0.322106346444631,0.562,0.388,1.57909879534569e-44,0.831025162465969,1.19281830293955
"17","ANO2",0,0.333216669674374,0.425,0.328,0,0.819948678029151,1.0905601036317
"18","APOE",0,0.266326294587721,0.388,0.248,0,0.233871970168805,0.512073437498475
"19","APOLD1",0,0.378360211148117,0.265,0.235,0,0.287783693502532,0.77863406889492
"20","AQP1",5.92534653184274e-160,0.397453892152704,0.48,0.362,1.18506930636855e-156,0.933471916740822,1.37696019864223
"21","ARAP2",0,0.356161926829535,0.36,0.296,0,0.19752567164661,0.624028367981465
"22","ARHGEF3",8.49692943524926e-162,0.345513169860963,0.485,0.335,1.69938588704985e-158,0.702604015740783,1.1012198461163
"23","ARNTL2",4.73555810331666e-70,0.274497873273497,0.493,0.25,9.47111620663333e-67,0.176200794101376,0.463534496316484
"24","ARRDC3",0,0.479295354124841,0.418,0.307,0,0.34576793607886,1.17412752475507
"25","ATF3",1.07874969911107e-50,0.313086310152617,0.541,0.406,2.15749939822213e-47,0.781518029444504,1.47779528585187
"26","ATP11C",0,0.265047038472184,0.442,0.345,0,0.646729737064484,1.12225164509813
"27","ATP1B3",2.25565054277099e-51,0.534023255340281,0.626,0.362,4.51130108554197e-48,0.606440184245315,2.1303614449882
"28","ATP2A2",5.4458420687517e-18,0.270750308739805,0.715,0.465,1.08916841375034e-14,1.09005692661768,1.33579986830569
"29","ATP2B1",3.92701201199345e-41,0.308943673642,0.536,0.325,7.85402402398689e-38,0.613737473450275,0.973445274868952
"30","AXL",1.02777997689157e-10,0.31456540758048,0.583,0.368,2.05555995378315e-07,0.89527009313491,1.29791040405385
"31","BANP",3.04210044946684e-251,0.513182301102821,0.434,0.267,6.08420089893367e-248,0.398079915339438,1.0190409000943
"32","BAZ1A",0,0.387958436442474,0.427,0.347,0,0.49535543413584,1.10787943435434
"33","BCR",0.0763031373019182,0.294688106887931,0.605,0.338,1,0.765935318239156,1.24330447911866
"34","BIRC3",0,0.544999565937134,0.293,0.239,0,0.131915093517424,0.816120209319196
"35","BMPR2",1.21516515453519e-17,0.266734666942071,0.783,0.637,2.43033030907038e-14,1.89243411737019,2.30618076063674
"36","C7",0,-0.324166099134364,0.987,0.512,0,1.2587379388421,0.653376732239558
"37","C8orf34",0,-0.406254027196321,0.93,0.357,0,0.793151146238501,0.360317954784603
"38","CADM2",0,0.250934734940831,0.395,0.246,0,0.884906062456828,1.19258715020014
"39","CCL2",4.11980380430605e-95,0.797974100292664,0.46,0.243,8.2396076086121e-92,0.225468904331233,1.59009796318635
"40","CCSER1",9.79947517152301e-294,0.270362242706279,0.451,0.317,1.9598950343046e-290,0.622070242196939,0.85236813244426
"41","CD109",0,0.27580931220198,0.42,0.297,0,0.325656506106603,0.649295322639809
"42","CD55",2.88406853643492e-218,0.436021261091918,0.482,0.347,5.76813707286983e-215,0.410440088542447,0.972234918470616
"43","CD74",2.00283064182919e-19,0.306684902112129,0.687,0.418,4.00566128365839e-16,0.935142000712598,1.21850794898306
"44","CD93",0,0.493312862621017,0.363,0.262,0,0.350619806956242,0.926836750217259
"45","CDK17",1.43687515847979e-49,0.50335240961689,0.539,0.376,2.87375031695957e-46,0.756729521130004,1.56791935813043
"46","CDKN1A",0,0.59603803377697,0.346,0.289,0,0.253227668509679,1.07584152696902
"47","CEBPB",0,0.433781238196679,0.439,0.342,0,0.498607640153447,1.06008548409113
"48","CEBPD",0,0.463698490616837,0.419,0.369,0,0.416692263884334,0.947388085351999
"49","CEMIP2",7.61108828688903e-176,0.370013016975193,0.481,0.334,1.52221765737781e-172,0.519543646809262,1.0358847535232
