"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","ABCA6",0.00989193810076741,-0.41579994046548,0.993,0.648,1,2.22792793180396,1.1651647091319
"2","ABCA8",0.241288527146262,-0.4250461102577,0.979,0.599,1,2.04701408682703,1.15861616735648
"3","ABCC1",2.18411032320064e-22,0.301504569474176,0.73,0.357,4.36822064640127e-19,0.817712272133801,1.1425915786968
"4","ABL2",0.891671849777079,0.550453415367946,0.614,0.414,1,0.99617581397744,1.85481748289214
"5","ABR",2.12654785004702e-40,0.375646802369064,0.746,0.29,4.25309570009403e-37,0.804521034086318,1.06342082235211
"6","AC002074.1",1.68861450603733e-61,-0.336154692214325,0.87,0.337,3.37722901207466e-58,0.483790074010789,0.203857408341082
"7","AC007319.1",9.49017141624725e-25,-0.264723652320359,0.837,0.44,1.89803428324945e-21,1.12550550565379,0.958770591751154
"8","AC008014.1",6.16974000748842e-83,-0.638568883422375,0.924,0.355,1.23394800149768e-79,0.966915653815111,0.386061177107383
"9","AC016708.1",3.11281931858136e-109,0.451213133105401,0.331,0.327,6.22563863716273e-106,0.105323188273301,0.572709719240909
"10","AC025159.1",3.97549841791631e-68,-0.354502787820416,0.899,0.393,7.95099683583263e-65,1.06233431973661,0.839042714412991
"11","AC069368.1",0.925509378332976,0.396535127057453,0.549,0.259,1,0.263254704207874,0.602362361139627
"12","AC079298.3",3.92784894094049e-32,-0.621413730524793,0.866,0.489,7.85569788188099e-29,1.22458372753185,1.01806690956716
"13","AC104123.1",9.59174543188754e-33,-0.27444666882372,0.743,0.29,1.91834908637751e-29,0.639708285889642,0.434167795784801
"14","ACKR1",3.84025182285843e-204,0.470746287415398,0.207,0.193,7.68050364571687e-201,0.151771922312142,0.736219740867623
"15","ACTA2",1.30559711691748e-18,0.625509142711988,0.999,0.951,2.61119423383495e-15,2.89081778800829,2.71675116562417
"16","ADAM12",1.15111699244983e-07,0.373163065713875,0.507,0.289,0.000230223398489967,0.140441101681406,0.479228862759222
"17","ADAMTS1",3.90919724806408e-05,0.301713537628042,0.658,0.487,0.0781839449612816,0.769412902493427,1.9726597353432
"18","ADAMTS15",1.59224343659532e-06,0.270653209960338,0.558,0.337,0.00318448687319063,0.242733900656482,0.55130001843172
"19","ADAMTS17",1.69817309805275e-55,-0.348387282734129,0.822,0.294,3.3963461961055e-52,0.773272316216854,0.454050396204492
"20","ADAMTS4",2.61189403715346e-51,0.842721880442238,0.358,0.207,5.22378807430691e-48,0.0263824574112522,1.40759042994632
"21","ADAMTS9",9.08701684936588e-43,0.4578900824806,0.684,0.292,1.81740336987318e-39,0.274107252772191,2.24664005180271
"22","ADAMTSL3",0.350112266105849,-0.476235769203522,0.992,0.706,1,1.88633002795259,1.05345374335959
"23","ADGRB3",3.61213144416724e-09,-0.441569766809065,0.935,0.511,7.22426288833448e-06,2.13665346129953,1.16027803836155
"24","ADGRD1",0.00881837286334617,0.261088620438551,0.706,0.527,1,0.99192701775257,1.37836099940044
"25","ADGRL4",2.32588459624836e-113,0.54403597674781,0.304,0.273,4.65176919249672e-110,0.165192032751022,0.769735976207318
"26","AFF3",1.50310088448724e-41,-0.547411506363713,0.901,0.418,3.00620176897447e-38,1.46125514686685,0.825786337163812
"27","AFF4",0.894560805446739,0.288997793924472,0.691,0.543,1,1.26037271590595,1.65410383926462
"28","AGMO",4.78169517635319e-31,-0.557875867104181,0.771,0.342,9.56339035270638e-28,0.688406225036312,0.279768946900121
"29","AKAP6",2.20051157546081e-29,0.349542955805166,0.915,0.512,4.40102315092161e-26,0.944072029139677,1.10370798635883
"30","AL050403.2",9.34440910123479e-150,-0.251922333972931,0.875,0.253,1.86888182024696e-146,0.629146317829738,0.401931153972116
