"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","ANGPT4",2.00508099635455e-07,1.78215974538504,0.462,0.113,0.0044195995321647,1.7691904851474,0.533891482326323
"2","ARL17B",7.5972153726295e-09,-2.14930589447681,0.051,0.607,0.000167457821243499,0.306427667928885,1.79621298884636
"3","BCL6",2.55833521026975e-10,1.57568186715984,0.385,0.033,5.63908247047659e-06,1.30760097226844,0.215421528587172
"4","CDC42EP4",9.80990147142506e-07,1.12182505720773,0.256,0.027,0.0216229848233151,0.87312112118923,0.0955312457041933
"5","COL5A3",3.07145305036435e-09,1.86399401631675,0.282,0.013,6.7700968136131e-05,1.35663488216408,0.0646126851735159
"6","EBF2",1.06461261624023e-06,1.08168674445263,0.821,0.413,0.0234661912871671,2.32090856440504,1.57114044723863
"7","FKBP5",9.89811275346887e-32,4.84101034433224,1,0.127,2.18174201311961e-27,3.87871109967663,0.523178428441208
"8","GUCY1A1",2.08961520031969e-06,-1.3039047052935,0.333,0.767,0.0460592982454466,1.29524068910431,2.19903855929735
"9","LINC02507",2.21070969903848e-06,0.839100966331259,0.179,0.007,0.0487284631862061,0.628434539839006,0.046814070821368
"10","MALAT1",6.21500346236405e-09,-0.612544909777075,1,1,0.000136991106317428,5.96979000611765,6.39437378329598
"11","MYL9",2.88626415730295e-07,0.705145484719494,1,0.98,0.00636190345552715,3.84987348935794,3.36110388474005
"12","NRG1",2.21070969903848e-06,0.854966219544864,0.179,0.007,0.0487284631862061,0.635295119346855,0.042677694795337
"13","PDE4D",1.70076298932035e-15,1.92366375140708,0.615,0.06,3.74882178105992e-11,1.74487745864903,0.411495353015847
"14","PDK4",1.14210729146991e-08,1.7181345806326,0.385,0.053,0.000251743289185798,1.43028428458717,0.239364144199146
"15","PPM1L",8.23061833866732e-07,1.17174747625393,0.795,0.487,0.0181419289420905,2.45916700560275,1.64697354610911
"16","RBPMS",7.23272634882179e-07,1.02538119357574,0.974,0.967,0.015942375418073,3.96219934553547,3.25145926220925
"17","RGS5",4.89589858980209e-08,1.63288522563118,0.692,0.267,0.00107915396716418,2.19104358118785,1.0592137908636
"18","SLC7A2",2.95119746024828e-07,1.58506398647576,0.718,0.32,0.00650502944187926,2.3208529932453,1.22217036001251
"19","SPARCL1",1.99728344582016e-08,1.03114141921335,0.974,0.787,0.00044024121712768,3.11626092716404,2.40152815967773
"20","TBC1D8",1.45440462622187e-06,1.34570828766595,0.333,0.06,0.0320579867711824,1.21851630167053,0.28574239621872
"21","TIMP3",6.65896000926649e-07,1.53565574295044,0.846,0.56,0.0146776796524252,2.89988870670641,1.83545325816962
"22","TIPARP",2.78370754633773e-08,1.23022228870261,0.256,0.013,0.000613584817363763,0.901904707043796,0.0491795961675751
"23","ZBTB16",1.80913750406758e-21,3.08266036501408,0.974,0.38,3.98770088646577e-17,3.43499485844936,1.29825751781596
