"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcified","log1p_avg_controls"
"1","ABCA10",6.92627104729305e-46,-0.946887239015467,0.051,0.141,1.52668866424433e-41,0.469657582704781,1.12598980273654
"2","ABCA6",3.16824806929925e-50,-0.950206764923453,0.046,0.138,6.98345239434941e-46,0.438285851238281,1.09691899129396
"3","ABCA8",4.90338273507093e-48,-0.852839290675188,0.051,0.145,1.08080362246433e-43,0.452360782580022,1.04350393238227
"4","ABCA9",1.11062265762366e-28,-0.6487319914625,0.044,0.107,2.44803446193407e-24,0.404433754813958,0.854100505635229
"5","AC016831.7",8.51759423659842e-47,-0.392868568818101,0.466,0.657,1.87744812163102e-42,2.05789973514859,2.33021547595548
"6","AC024901.1",9.66130056884606e-53,0.981826270505656,0.248,0.136,2.12954387138505e-48,1.49422000222403,0.813669891023348
"7","AC025159.1",2.61672266297574e-09,0.573375293745638,0.222,0.188,5.76778009373112e-05,1.32680735570175,0.929373887439234
"8","AC053527.1",1.83161628650268e-30,-0.310832446196148,0.067,0.146,4.03724861870921e-26,0.45699513813277,0.672447771840181
"9","AC087477.2",1.70317254844338e-21,-0.253473609101953,0.082,0.15,3.75413293127889e-17,0.542286879773604,0.717981397268977
"10","AC092164.1",0.25114851929173,0.375165568437155,0.103,0.101,1,0.691894484144617,0.431849528139233
"11","AC098829.1",2.53442962356615e-32,0.721391653548949,0.385,0.296,5.58638977626451e-28,2.10689478537352,1.60686419463659
"12","AC098850.3",2.65787821729279e-79,-0.558871616484892,0.015,0.119,5.85849516655678e-75,0.107142760531822,0.494523045793304
"13","AC105402.3",2.81068906840468e-40,0.830634180486189,0.161,0.077,6.19532084457759e-36,1.0027314794568,0.42697973917608
"14","AC113383.1",6.45632545299004e-28,-0.341190483823584,0.152,0.256,1.42310325634806e-23,0.992778219157132,1.22927344105333
"15","AC245297.3",0.725596097697024,0.296194921026693,0.33,0.381,1,1.63217268534497,1.42686601093914
"16","ACACB",4.11498267711811e-41,-0.354843965242507,0.188,0.331,9.07024481690373e-37,1.04429410240113,1.29025319644768
"17","ACADL",5.0327845710325e-19,0.725499075582112,0.172,0.117,1.10932637514698e-14,1.00776259104389,0.504884952305304
"18","ACADVL",1.2550911204353e-12,0.665770802750375,0.126,0.086,2.76647184766348e-08,0.86196270036715,0.400485545541596
"19","ACER3",5.0987363872777e-27,-0.280570544685299,0.087,0.168,1.12386347448375e-22,0.566529888479088,0.76100657047587
"20","ACTB",1.36546690304373e-155,0.645442974715753,0.87,0.793,3.00976214768899e-151,3.25687241511093,2.80948543697449
"21","ACTG2",3.80397339280198e-49,0.729712826237407,0.512,0.426,8.38471815241413e-45,2.40622741260557,1.90042902448068
"22","ACTN4",3.08221541803433e-142,0.94725710421404,0.708,0.596,6.79381922443126e-138,2.71528555959084,2.0586969685395
"23","ADAM19",1.1850472507589e-45,-0.350847049252494,0.112,0.235,2.61208115012276e-41,0.715490029645543,0.958678672642683
"24","ADAM33",5.37997097523483e-05,0.574730413715315,0.189,0.172,1,1.08868559747486,0.690312831626034
"25","ADAMTS12",1.9212053627226e-46,-0.512504394665561,0.07,0.173,4.23472086051315e-42,0.480243371835608,0.835484348022623
"26","ADAMTS15",7.1863018298343e-09,0.452511675683668,0.104,0.072,0.000158400464933208,0.685592498605377,0.371935306434785
"27","ADAMTS2",1.6604139073858e-30,-0.36286565925443,0.071,0.15,3.65988433465978e-26,0.474562593591793,0.726081902226027
"28","ADAMTS9-AS2",8.34576598363705e-73,-0.617874014094972,0.441,0.63,1.83957373811328e-68,2.04881352162671,2.47709115243789
"29","ADAMTSL1",2.26150621940115e-15,0.554969194259218,0.174,0.121,4.98481200880401e-11,1.20881218095342,0.824136848655023
"30","ADAMTSL3",1.98942319357191e-06,0.399457956282989,0.16,0.131,0.043850866032712,1.00251410627791,0.725630950128115
"31","ADARB1",3.92277896225473e-35,0.627229575952595,0.503,0.438,8.64658938860189e-31,2.21589280420585,1.7811303920705
"32","ADCY6",2.21580743832374e-29,-0.259251903540591,0.088,0.174,4.8840827555532e-25,0.541832051591795,0.721531777585755
"33","ADD3",9.55153705466054e-34,-0.349941503179355,0.165,0.283,2.10534979758828e-29,0.957329499348659,1.19989046563834
"34","ADGRB3",1.84993485616198e-204,-1.70754034719215,0.105,0.39,4.07762640995225e-200,0.934427434566224,2.11800421191482
"35","ADGRL3",2.05592318988469e-12,0.346145946300369,0.538,0.505,4.53166589514383e-08,2.52026168838279,2.28033160164243
"36","ADH1B",6.9481692336187e-18,-0.423371359072933,0.057,0.108,1.53151546247423e-13,0.502056278738998,0.795514942610233
"37","ADIRF",1.08027239158484e-52,0.72836025802664,0.58,0.521,2.38113640553129e-48,2.36571101572301,1.86085015643993
"38","ADRA1A",1.99413305195452e-51,-0.491099503057806,0.104,0.231,4.39546807311816e-47,0.730712325368781,1.07111656128769
"39","AEBP1",2.53827711847546e-27,0.765103608369257,0.407,0.351,5.59487042454362e-23,1.95996652044176,1.42963711146436
"40","AES",0.0178660789512824,0.391099976243955,0.14,0.13,1,0.87567529464072,0.60458544879016
"41","AF117829.1",5.79342353639109e-36,-0.28947634066366,0.111,0.218,1.27698641589132e-31,0.70181753599251,0.902467245362336
"42","AFAP1",2.11782417915683e-33,-0.310432119739891,0.087,0.178,4.66810805569749e-29,0.542178594309324,0.757353742862276
"43","AFDN",3.13980133260551e-32,-0.418158527028832,0.094,0.184,6.92075009732906e-28,0.583636925490426,0.873482329527559
"44","AFF1",0.153272969730287,0.341026819682139,0.361,0.397,1,1.73498353396897,1.49860175541097
"45","AFF3",4.4088085226277e-10,0.494826470539284,0.337,0.306,9.71789574557598e-06,1.76482843704378,1.42184086412305
"46","AGAP4",3.84253604985907e-33,-0.269590440649035,0.051,0.126,8.46971796109936e-29,0.325425339466715,0.512291193308506
"47","AHI1",2.48318856928607e-35,-0.272455026642473,0.174,0.299,5.47344424442036e-31,0.961397498554647,1.15024893210126
"48","AHNAK",4.19060171426776e-31,0.709362015990416,0.446,0.39,9.23692429858901e-27,1.93434328580238,1.4426510044223
"49","AKAP13",1.03090489315457e-67,-0.481802304402707,0.25,0.453,2.2723205654913e-63,1.30373004979489,1.63768995867891
"50","AKAP6",9.67628734789504e-16,-0.301338302518671,0.335,0.422,2.13284725722303e-11,1.69728235364909,1.90615414843463
"51","AKAP8L",0.0677109898340581,0.286407982961404,0.162,0.19,1,0.951930278509749,0.753407392630191
"52","AL133346.1",1.13111674773883e-35,-0.433128268403648,0.057,0.138,2.49320753536592e-31,0.427368051601135,0.727589689665935
"53","AL359915.2",1.0718583604502e-25,-0.260675533427884,0.082,0.158,2.36259019810433e-21,0.563151266725833,0.743837777762331
"54","AL445426.1",3.0042003951959e-17,-0.357306863981865,0.065,0.117,6.6218585110908e-13,0.479110287951297,0.726776533315043
"55","AL450332.1",1.34570882903542e-30,-0.26757877777124,0.129,0.232,2.96621140095988e-26,0.802308528515817,0.987780003905629
"56","ALCAM",3.78474975254447e-62,-0.564636368873014,0.055,0.172,8.34234540455852e-58,0.457040052130715,0.84841615925665
"57","AMOTL1",2.32016876626556e-31,-0.273938190805945,0.107,0.204,5.11411599460255e-27,0.637348251240086,0.827227735844919
"58","ANGPTL1",0.000200190421294379,0.345769981466841,0.11,0.09,1,0.687837142140956,0.44816765436495
"59","ANK3",6.44571727984547e-183,-1.88807858354838,0.055,0.296,1.42076500282354e-178,0.445539873880013,1.75425622074219
"60","ANKH",2.72294186339817e-43,-0.297841110840368,0.162,0.303,6.00190845530224e-39,0.963840890713939,1.17028861694778
"61","ANKRD26",5.02412006483941e-33,-0.348707051096023,0.058,0.136,1.1074165446919e-28,0.380944083465268,0.622649392773848
"62","ANKRD36B",6.42239869679173e-28,-0.318120589413375,0.044,0.108,1.41562512074683e-23,0.27119043720126,0.491694826831209
"63","ANKRD36C",2.3781643810278e-41,-0.361368972951654,0.09,0.196,5.24194992866147e-37,0.527740905562684,0.778222790305966
"64","ANKRD50",2.76973427538898e-30,-0.288422110046676,0.043,0.11,6.10504828981239e-26,0.315758900434801,0.515677872824805
"65","ANKS1B",1.13018728341767e-25,-0.33965874571456,0.368,0.496,2.49115881010924e-21,1.79547750836447,2.03091101030904
"66","ANO1",4.75254301107842e-28,-0.263305410023598,0.107,0.198,1.04755553050191e-23,0.675175192107464,0.857684594691502
"67","ANO2",1.99216783280354e-10,-0.525065962586028,0.082,0.122,4.39113633706557e-06,0.857846447724275,1.22179443929877
"68","ANO6",6.00256720697569e-36,-0.282845721691239,0.216,0.356,1.32308586376158e-31,1.116476496956,1.31253021147973
"69","ANTXR1",6.66530364850294e-90,-0.886176802649419,0.384,0.57,1.46916623020302e-85,1.81890085873004,2.43315181096411
"70","ANXA4",6.23959124418624e-41,-0.320846102336938,0.16,0.293,1.37533070204353e-36,0.920337406893462,1.14273097812196
"71","ANXA6",0.698400076564271,0.305307881163104,0.182,0.2,1,1.05121906935465,0.839595772323709
"72","AP001347.1",1.41386716384204e-34,-0.385186019140331,0.074,0.162,3.11644600254062e-30,0.529912383821384,0.796902986979614
"73","AP001528.2",1.32191669487586e-26,-0.313374664215063,0.113,0.2,2.91376877884536e-22,0.711249047086905,0.928463812046494
"74","AP2M1",0.382328322063754,0.273957269178084,0.091,0.101,1,0.680697798427337,0.490805089702646
"75","APIP",9.72168425854485e-37,-0.309165090654333,0.042,0.118,2.14285364426846e-32,0.276322480631011,0.490619391545622
"76","APLP2",0.523404742445335,0.265279232493609,0.157,0.173,1,0.942826169931347,0.758948617867295
"77","AQP1",2.58590936702955e-08,0.375298639463638,0.168,0.133,0.000569986142680654,1.03429273847085,0.774155544658641
"78","ARHGAP15",1.21501730190446e-84,-1.02313954473841,0.061,0.206,2.6781411368578e-80,0.51787858356789,1.2270648743227
"79","ARHGAP21",2.3928837915729e-50,-0.361709759636894,0.191,0.352,5.27439445338499e-46,1.05608320876549,1.30680130883882
"80","ARHGAP23",0.38336183602221,0.264278367825981,0.117,0.129,1,0.736530462154367,0.553346656612803
"81","ARHGAP24",5.61991589100365e-58,-0.664623298461876,0.086,0.212,1.23874186069502e-53,0.646720441448801,1.1074022069121
"82","ARHGAP29",2.21033382086065e-68,-0.506966427199345,0.153,0.327,4.87201780794104e-64,0.899190810101144,1.25059315975292
"83","ARHGAP31",1.61969125072818e-38,-0.531687374366808,0.091,0.191,3.57012345485506e-34,0.713465260986155,1.08200286546783
"84","ARHGDIA",2.03773063587624e-09,0.523079875738252,0.113,0.08,4.49156586759842e-05,0.75928668094377,0.396715339868154
"85","ARHGEF10L",0.00014749347604863,0.347318455416016,0.418,0.425,1,1.96782529356754,1.7270824854395
"86","ARHGEF26",1.71255090271337e-46,-0.486354955956283,0.057,0.154,3.77480469976082e-42,0.401690949664311,0.738806516136764
"87","ARHGEF28",3.06342809673107e-75,-0.670287754969844,0.141,0.313,6.75240821081462e-71,0.829488527317357,1.29409659483856
"88","ARHGEF3",1.75747688580279e-11,-0.360091151265664,0.101,0.148,3.8738305516865e-07,0.711056885601076,0.960653051845455
"89","ARHGEF6",1.68154103279123e-25,-0.272776224096628,0.059,0.127,3.70645274447842e-21,0.414734244910595,0.60380831556696
"90","ARID1B",6.28577192577583e-58,-0.416920498888368,0.42,0.626,1.38550984787951e-53,1.83612591875429,2.12511318707641
"91","ARID5B",4.92226707868609e-52,-0.445449068323019,0.16,0.307,1.08496610948399e-47,0.908523755194235,1.21728552098539
"92","ARL15",1.42572441294422e-66,-1.01303911879104,0.201,0.372,3.14258175101165e-62,1.39440029073569,2.09658549972263
"93","ARL17B",0,-1.66091759179373,0.069,0.465,0,0.472873406728635,1.62413375262288
"94","ARL6IP4",0.449690860967503,0.354468723816621,0.133,0.135,1,0.862632734409013,0.61693373789884
"95","ARPC2",8.30768564551324e-32,-0.261019416978898,0.116,0.216,1.83118006998403e-27,0.696150867237958,0.877075740188282
"96","ARRB1",1.32755756072253e-29,-0.554819040329352,0.047,0.113,2.9262023753446e-25,0.331448838500753,0.716020092026019
"97","ASAP1",8.5930325358941e-79,-0.588030097976805,0.264,0.485,1.89407623156178e-74,1.42297463088335,1.83056603538036
"98","ASAP2",1.17838576380616e-64,-0.493005020541057,0.205,0.387,2.59739790058153e-60,1.12240087640265,1.46412591639258
"99","ASCC1",0.139226624420477,0.312050709142382,0.114,0.109,1,0.709902971610769,0.493605902376995
"100","ASPN",4.80073784849178e-80,-0.641867802862662,0.022,0.135,1.05817863656456e-75,0.173298069360328,0.618206927206788
"101","ASXL2",1.06547960538911e-28,-0.269101479565112,0.087,0.172,2.34853014619868e-24,0.540454625243952,0.72698155708902
"102","ATAD2B",6.28584191859162e-38,-0.255131915467976,0.154,0.28,1.38552527569597e-33,0.866733167926522,1.04357713580401
"103","ATF4",3.74104528485587e-22,0.739867682005253,0.181,0.119,8.24601201687932e-18,1.04516028128803,0.532323083518662
"104","ATF7IP",5.16123840710281e-46,-0.36908783709351,0.139,0.272,1.1376401696936e-41,0.794899747851232,1.05073194151157
"105","ATG7",2.61050662790548e-43,-0.354654201703344,0.243,0.404,5.75407870922926e-39,1.29898088112647,1.54480844111088
"106","ATL2",0.0802688958901794,0.280543751884128,0.109,0.102,1,0.659329843427954,0.464871732785761
"107","ATL3",0.787021209756212,0.318388191339479,0.158,0.172,1,0.917425742311909,0.696735865161367
"108","ATOH8",0.132351038794597,0.319889413762088,0.113,0.108,1,0.739203202230659,0.517472756990492
"109","ATP10A",7.85797023343737e-05,0.359143451877059,0.37,0.369,1,1.81375712401387,1.56481785292872
"110","ATP10D",1.22924238161743e-37,-0.342121419905437,0.08,0.175,2.70949605756114e-33,0.492280981875008,0.729421479491627
"111","ATP11B",6.07708252680566e-32,-0.279092787209013,0.092,0.183,1.3395105305585e-27,0.55766833875232,0.751120717320863
