"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcified","log1p_avg_controls"
"1","A2M",2.53294290262702e-87,-0.290214116586442,0.263,0.419,6.45115227870077e-83,1.61137317380579,1.4102120771352
"2","AAMDC",7.24256913527304e-191,-0.453729344204354,0.047,0.165,1.84460993306269e-186,0.692551112089501,0.378049896416941
"3","ABCA1",6.53069680998057e-36,0.59045039385175,0.119,0.078,1.66330317053395e-31,0.417011019475915,0.826280045234765
"4","ABCA10",9.07464844913369e-06,-0.264321569314326,0.096,0.114,0.231122221350986,0.906182570994183,0.722968820462776
"5","ABCB10",7.02146114620881e-118,-0.268721773375452,0.041,0.123,1.78829593932792e-113,0.515919962075244,0.329656222504982
"6","ABHD17B",7.73249884127384e-124,-0.348514842785906,0.043,0.129,1.96939012988403e-119,0.584540480975271,0.342968400314927
"7","ABHD18",2.84480898662592e-112,-0.269010479809424,0.071,0.169,7.24544400803755e-108,0.702109483355651,0.51564562773467
"8","ABL1",0.355687397454248,0.298420979821896,0.257,0.288,1,1.15419536453965,1.36104502532314
"9","ABL2",3.23214389100184e-86,0.904859975328157,0.283,0.214,8.23194727599259e-82,0.869570530746597,1.49677167144685
"10","ABLIM1",3.3471748612362e-87,0.735893407650845,0.257,0.175,8.52491965408247e-83,0.914144546236703,1.42422698694254
"11","AC002066.1",1.76635159340082e-64,-0.303729365286006,0.109,0.191,4.49872087323255e-60,0.95045583112878,0.739926677927523
"12","AC005358.1",7.12453929696845e-167,-0.484564911165121,0.028,0.119,1.81454891354489e-162,0.566588571793921,0.230713769821536
"13","AC006059.1",1.91653924937028e-206,-0.529707764854325,0.03,0.14,4.88123381422117e-202,0.617581949999753,0.250416506270267
"14","AC007319.1",6.06037349947476e-84,-0.450237574343527,0.097,0.187,1.54351652658123e-79,1.00654197001195,0.694461064773581
"15","AC008014.1",1.8872773648866e-170,-0.692137089140809,0.051,0.16,4.80670672062969e-166,0.879271834320118,0.399518962421196
"16","AC009690.1",5.60438341147932e-166,-0.456101531959974,0.024,0.111,1.42738041106967e-161,0.512166546664139,0.19602105573701
"17","AC010894.3",1.24962146537614e-184,-0.514866397073107,0.034,0.137,3.1826609101665e-180,0.635579113129114,0.278700921632832
"18","AC011511.2",0,2.41215363708189,0.237,0.014,0,0.0755609609889253,1.74753845360965
"19","AC012409.2",0,-0.811823815863954,0.041,0.207,0,0.887052112351025,0.324338723273509
"20","AC013394.1",6.42403721022967e-53,0.750029753968309,0.228,0.176,1.6361380370734e-48,0.713299176184757,1.23318018548396
"21","AC016831.7",0,0.9637000320295,0.74,0.618,0,2.20260983668447,2.87059579679124
"22","AC020916.1",0,1.58536961036454,0.384,0.172,0,0.699850903912604,1.7987453794822
"23","AC022217.3",2.2959824721674e-224,-0.53755553092344,0.041,0.168,5.84763775836316e-220,0.716488678190019,0.343883577536031
"24","AC024901.1",2.83784210605935e-250,-0.910890965916432,0.104,0.275,7.22770005992256e-246,1.37407651159913,0.742695006776635
"25","AC025159.1",8.12704893660848e-174,-0.583295545091203,0.037,0.138,2.06987809366481e-169,0.707888633194635,0.303578970681491
"26","AC027237.3",3.96912019550628e-249,-0.605223276829138,0.008,0.107,1.0108952225935e-244,0.491350798508458,0.0718419905650891
"27","AC027644.4",1.75886066375965e-98,-0.265070369172684,0.056,0.138,4.47964222452946e-94,0.598623713512015,0.414890934469985
"28","AC053527.1",6.59695938108588e-144,-0.389473931730166,0.028,0.11,1.68017958476876e-139,0.500191276039371,0.230228518359009
"29","AC074032.1",1.72316349024361e-113,-0.271450247049629,0.05,0.137,4.38872509330146e-109,0.563636670906639,0.375481697501888
"30","AC079447.1",1.11189282801864e-81,-0.281337077436805,0.04,0.104,2.83187984368069e-77,0.507589190136005,0.312581188123707
"31","AC087477.2",3.44293073328186e-124,-0.349118189309304,0.027,0.101,8.76880028459558e-120,0.465499063103124,0.223508774501187
"32","AC092164.1",2.49752462324778e-146,-0.366896465684328,0.025,0.105,6.36094546294977e-142,0.476880461413505,0.222567210667003
"33","AC092683.1",7.27621231782715e-274,-0.594261863743641,0.021,0.143,1.8531785152274e-269,0.575920909080467,0.164009973712261
"34","AC096711.2",1.66803023774687e-140,-0.350885890724534,0.027,0.108,4.2483062125175e-136,0.466906338042119,0.223690772188143
